,Product,Manufacturer,Architecture,Released,BUS,Memory,GPU.Clock,Memory.Clock,Shaders.TMUs.ROPs,Production.Status
0,Spectre 1000,3dfx,Rampage,Never Released,AGP 4x,"64 MB, DDR, 128 bit",200 MHz,200 MHz,4 / 0 / 4 / 4,End-of-life
1,Spectre 2000,3dfx,Rampage,Never Released,AGP 4x,"64 MB, DDR, 128 bit",200 MHz,200 MHz,4 / 1 / 4 / 4,End-of-life
2,Spectre 3000,3dfx,Rampage,Never Released,AGP 4x,"64 MB, DDR, 128 bit",200 MHz,200 MHz,4 / 1 / 4 / 4,End-of-life
3,Voodoo4 4000 AGP,3dfx,VSA-100,Never Released,AGP 4x,"16 MB, SDR, 128 bit",166 MHz,166 MHz,2 / 0 / 2 / 2,End-of-life
4,Voodoo4 4500 AGP,3dfx,VSA-100,"Oct 13th, 2000",AGP 4x,"32 MB, SDR, 128 bit",166 MHz,166 MHz,2 / 0 / 2 / 2,End-of-life
5,Voodoo4 4500 PCI,3dfx,VSA-100,"Oct 13th, 2000",PCI,"32 MB, SDR, 128 bit",166 MHz,166 MHz,2 / 0 / 2 / 2,End-of-life
6,Voodoo4 4800 AGP,3dfx,VSA-100,Never Released,AGP 4x,"64 MB, SDR, 128 bit",166 MHz,166 MHz,2 / 0 / 2 / 2,End-of-life
7,Voodoo4-2 4000 AGP,3dfx,VSA-101,Never Released,AGP 4x,"16 MB, SDR, 128 bit",166 MHz,166 MHz,2 / 0 / 2 / 2,End-of-life
8,Voodoo4-2 4200 AGP,3dfx,VSA-101,Never Released,AGP 4x,"16 MB, DDR, 128 bit",143 MHz,143 MHz,2 / 0 / 2 / 2,End-of-life
9,Voodoo4-2 4200 PCI 16 MB,3dfx,VSA-101,Never Released,AGP 4x,"16 MB, DDR, 128 bit",166 MHz,166 MHz,2 / 0 / 2 / 2,End-of-life
10,Voodoo4-2 4200 PCI 32 MB,3dfx,VSA-101,Never Released,AGP 4x,"32 MB, DDR, 128 bit",166 MHz,166 MHz,2 / 0 / 2 / 2,End-of-life
11,Voodoo4-2 4800 AGP,3dfx,VSA-101,Never Released,AGP 4x,"32 MB, SDR, 128 bit",166 MHz,166 MHz,2 / 0 / 2 / 2,End-of-life
12,Voodoo5 5000 AGP,3dfx,VSA-100,Never Released,AGP 4x,"16 MB, SDR, 128 bit",166 MHz,166 MHz,2 / 0 / 2 / 2,End-of-life
13,Voodoo5 5000 PCI,3dfx,VSA-100,Never Released,PCI,"16 MB, SDR, 128 bit",166 MHz,166 MHz,2 / 0 / 2 / 2,End-of-life
14,Voodoo5 5500 AGP,3dfx,VSA-100,"Jun 22nd, 2000",AGP 2x,"32 MB, SDR, 128 bit",166 MHz,166 MHz,2 / 0 / 2 / 2,End-of-life
15,Voodoo5 5500 PCI,3dfx,VSA-100,"Jun 22nd, 2000",PCI,"32 MB, SDR, 128 bit",166 MHz,166 MHz,2 / 0 / 2 / 2,End-of-life
16,Voodoo5 6000,3dfx,VSA-100,Never Released,AGP 4x,"32 MB, SDR, 128 bit",166 MHz,166 MHz,2 / 0 / 2 / 2,End-of-life
17,Velocity 100,3dfx,Avenger,"Jul 26th, 1999",AGP 2x,"8 MB, SDR, 128 bit",143 MHz,143 MHz,1 / 0 / 2 / 1,End-of-life
18,Velocity 200,3dfx,Avenger,Never Released,AGP 2x,"12 MB, SDR, 128 bit",143 MHz,143 MHz,1 / 0 / 2 / 1,End-of-life
19,Voodoo3 1000 AGP,3dfx,Avenger,Mar 1999,AGP 2x,"16 MB, SDR, 128 bit",143 MHz,143 MHz,1 / 0 / 2 / 1,End-of-life
20,Voodoo3 2000 AGP,3dfx,Avenger,"Apr 3rd, 1999",AGP 2x,"16 MB, SDR, 128 bit",143 MHz,143 MHz,1 / 0 / 2 / 1,End-of-life
21,Voodoo3 2000 PCI,3dfx,Avenger,"Apr 3rd, 1999",PCI,"16 MB, SDR, 128 bit",143 MHz,143 MHz,1 / 0 / 2 / 1,End-of-life
22,Voodoo3 3000 AGP,3dfx,Avenger,"Apr 3rd, 1999",AGP 2x,"16 MB, SDR, 128 bit",166 MHz,166 MHz,1 / 0 / 2 / 1,End-of-life
23,Voodoo3 3000 PCI,3dfx,Avenger,"Apr 3rd, 1999",PCI,"16 MB, SDR, 128 bit",166 MHz,166 MHz,1 / 0 / 2 / 1,End-of-life
24,Voodoo3 3500 TV AGP,3dfx,Avenger,Jun 1999,AGP 2x,"16 MB, SDR, 128 bit",183 MHz,183 MHz,1 / 0 / 2 / 1,End-of-life
25,Voodoo Banshee AGP 16 MB,3dfx,Banshee,"Jun 22nd, 1998",AGP 2x,"16 MB, SDR, 128 bit",100 MHz,100 MHz,1 / 0 / 1 / 1,End-of-life
26,Voodoo Banshee PCI 16 MB,3dfx,Banshee,"Jun 22nd, 1998",PCI,"16 MB, SDR, 128 bit",100 MHz,100 MHz,1 / 0 / 1 / 1,End-of-life
27,Voodoo2 12 MB,3dfx,SST2,"Feb 2nd, 1998",PCI,"12 MB, EDO, 192 bit",90 MHz,90 MHz,1 / 0 / 2 / 1,End-of-life
28,Voodoo2 8 MB,3dfx,SST2,"Feb 2nd, 1998",PCI,"8 MB, EDO, 192 bit",90 MHz,90 MHz,1 / 0 / 2 / 1,End-of-life
29,Voodoo Graphics 4 MB,3dfx,SST1,"Oct 7th, 1996",PCI,"4 MB, EDO, 128 bit",50 MHz,50 MHz,1 / 0 / 1 / 1,End-of-life
30,AeroBox GPU,AMD,Kryptos,"Mar 13th, 2020",IGP,"8 GB, DDR3, 256 bit",935 MHz,1066 MHz,896 / 56 / 16,End-of-life
31,Atari VCS 400 GPU,AMD,Banded Kestrel,"Dec 14th, 2020",IGP,"4 GB, DDR4, 128 bit",300 MHz,1200 MHz,192 / 12 / 4,End-of-life
32,Atari VCS 800 GPU,AMD,Banded Kestrel,"Dec 14th, 2020",IGP,"8 GB, DDR4, 128 bit",300 MHz,1200 MHz,192 / 12 / 4,End-of-life
33,Radeon 540 Mobile,AMD,Lexa,"Mar 26th, 2019",PCIe 3.0 x8,"2 GB, GDDR5, 64 bit",1046 MHz,1300 MHz,512 / 32 / 16,End-of-life
34,Radeon 540X Mobile,AMD,Polaris 23,"Feb 11th, 2019",PCIe 3.0 x8,"2 GB, GDDR5, 64 bit",980 MHz,1000 MHz,512 / 32 / 16,End-of-life
35,Radeon 550X,AMD,Lexa,"Mar 27th, 2019",PCIe 3.0 x8,"2 GB, GDDR5, 128 bit",1082 MHz,1750 MHz,512 / 32 / 16,End-of-life
36,Radeon 610 Mobile,AMD,Banks,"May 23rd, 2019",PCIe 3.0 x8,"2 GB, GDDR5, 64 bit",1030 MHz,1000 MHz,320 / 20 / 8,End-of-life
37,Radeon 620 Mobile,AMD,Polaris 24,"May 13th, 2019",PCIe 3.0 x8,"2 GB, GDDR5, 64 bit",920 MHz,1000 MHz,384 / 24 / 8,End-of-life
38,Radeon 625 Mobile,AMD,Polaris 24,"May 13th, 2019",PCIe 3.0 x8,"2 GB, GDDR5, 64 bit",730 MHz,1125 MHz,384 / 24 / 8,End-of-life
39,Radeon 625 OEM,AMD,Polaris 24,"May 13th, 2019",PCIe 3.0 x8,"2 GB, GDDR5, 64 bit",1024 MHz,1125 MHz,384 / 24 / 8,End-of-life
40,Radeon R7 350 640SP,AMD,Cape Verde,"Jan 7th, 2019",PCIe 3.0 x16,"2 GB, GDDR5, 128 bit",925 MHz,1125 MHz,640 / 40 / 16,End-of-life
41,Radeon 540X Mobile,AMD,Lexa,"Sep 5th, 2018",PCIe 3.0 x8,"2 GB, GDDR5, 64 bit",980 MHz,1500 MHz,512 / 32 / 16,End-of-life
42,Radeon 550X 640SP,AMD,Lexa,"Apr 11th, 2018",PCIe 3.0 x8,"4 GB, GDDR5, 64 bit",1019 MHz,1500 MHz,640 / 40 / 16,End-of-life
43,Radeon RX 550X,AMD,Lexa,"Dec 16th, 2018",PCIe 3.0 x8,"4 GB, GDDR5, 128 bit",1100 MHz,1500 MHz,512 / 32 / 16,End-of-life
44,Zhongshan Subor Z+ GPU,AMD,Fenghuang,"Aug 3rd, 2018",IGP,"8 GB, GDDR5, 256 bit",1300 MHz,1200 MHz,1536 / 96 / 32,End-of-life
45,Radeon 520 Mobile DDR3,AMD,Banks,"Apr 18th, 2017",PCIe 3.0 x8,"2 GB, DDR3, 64 bit",1030 MHz,1000 MHz,320 / 20 / 8,End-of-life
46,Radeon 520 Mobile GDDR5,AMD,Banks,"Apr 18th, 2017",PCIe 3.0 x8,"2 GB, GDDR5, 64 bit",1030 MHz,1125 MHz,320 / 20 / 8,End-of-life
47,Radeon 520 OEM,AMD,Banks,"Apr 18th, 2017",PCIe 3.0 x8,"2 GB, GDDR5, 64 bit",1030 MHz,1125 MHz,320 / 20 / 8,End-of-life
