card,date,real_users
AMD Radeon(TM) Graphics,2020-11-01,46426
AMD Radeon(TM) Graphics,2020-12-01,47206
AMD Radeon(TM) Graphics,2021-01-01,60505
AMD Radeon(TM) Graphics,2021-02-01,78648
AMD Radeon(TM) Graphics,2021-03-01,112159
AMD Radeon(TM) Graphics,2021-04-01,120920
AMD Radeon(TM) Graphics,2021-05-01,123189
AMD Radeon(TM) Graphics,2021-06-01,149744
AMD Radeon(TM) Graphics,2021-07-01,168489
AMD Radeon(TM) Graphics,2021-08-01,184246
AMD Radeon(TM) Graphics,2023-01-01,46237
AMD Radeon(TM) Graphics,2023-02-01,51953
