card,date,real_users
AMD Radeon Graphics,2021-09-01,230322
AMD Radeon Graphics,2021-10-01,260570
AMD Radeon Graphics,2021-11-01,304250
AMD Radeon Graphics,2021-12-01,322276
AMD Radeon Graphics,2022-01-01,379638
AMD Radeon Graphics,2022-02-01,408073
AMD Radeon Graphics,2022-03-01,428149
AMD Radeon Graphics,2022-04-01,394379
AMD Radeon Graphics,2022-05-01,388120
AMD Radeon Graphics,2022-06-01,395418
AMD Radeon Graphics,2022-07-01,343984
AMD Radeon Graphics,2022-08-01,414773
AMD Radeon Graphics,2022-09-01,427997
AMD Radeon Graphics,2022-10-01,447541
AMD Radeon Graphics,2022-11-01,525936
AMD Radeon Graphics,2022-12-01,526921
AMD Radeon Graphics,2023-01-01,604169
AMD Radeon Graphics,2023-02-01,551286
