card,date,real_users
AMD Radeon HD 7600M Series,2015-09-01,20150
AMD Radeon HD 7600M Series,2015-11-01,32338
AMD Radeon HD 7600M Series,2016-01-01,28100
AMD Radeon HD 7600M Series,2016-02-01,25726
AMD Radeon HD 7600M Series,2016-03-01,25274
AMD Radeon HD 7600M Series,2016-04-01,27140
AMD Radeon HD 7600M Series,2016-05-01,28498
AMD Radeon HD 7600M Series,2016-06-01,26545
AMD Radeon HD 7600M Series,2016-07-01,26630
AMD Radeon HD 7600M Series,2016-08-01,25402
AMD Radeon HD 7600M Series,2016-10-01,26662
AMD Radeon HD 7600M Series,2016-11-01,24843
AMD Radeon HD 7600M Series,2016-12-01,23839
