card,date,real_users
AMD Radeon HD 7900 Series,2015-05-01,158494
AMD Radeon HD 7900 Series,2015-06-01,164976
AMD Radeon HD 7900 Series,2015-09-01,163948
AMD Radeon HD 7900 Series,2015-11-01,241189
AMD Radeon HD 7900 Series,2016-01-01,182655
AMD Radeon HD 7900 Series,2016-02-01,171138
AMD Radeon HD 7900 Series,2016-03-01,169228
AMD Radeon HD 7900 Series,2016-04-01,170759
AMD Radeon HD 7900 Series,2016-05-01,178426
AMD Radeon HD 7900 Series,2016-06-01,157063
AMD Radeon HD 7900 Series,2016-07-01,156308
AMD Radeon HD 7900 Series,2016-08-01,146891
AMD Radeon HD 7900 Series,2016-10-01,150281
AMD Radeon HD 7900 Series,2016-11-01,141962
AMD Radeon HD 7900 Series,2016-12-01,133501
AMD Radeon HD 7900 Series,2017-08-01,106490
AMD Radeon HD 7900 Series,2017-10-01,66211
AMD Radeon HD 7900 Series,2017-11-01,47856
AMD Radeon HD 7900 Series,2017-12-01,50266
AMD Radeon HD 7900 Series,2018-01-01,47315
AMD Radeon HD 7900 Series,2018-02-01,48780
AMD Radeon HD 7900 Series,2018-03-01,65181
AMD Radeon HD 7900 Series,2018-04-01,106643
AMD Radeon HD 7900 Series,2018-05-01,100715
AMD Radeon HD 7900 Series,2018-06-01,89548
AMD Radeon HD 7900 Series,2018-07-01,86699
AMD Radeon HD 7900 Series,2018-08-01,78722
AMD Radeon HD 7900 Series,2018-09-01,85919
AMD Radeon HD 7900 Series,2018-10-01,72758
AMD Radeon HD 7900 Series,2018-11-01,76831
AMD Radeon HD 7900 Series,2018-12-01,80221
AMD Radeon HD 7900 Series,2019-01-01,75519
AMD Radeon HD 7900 Series,2019-02-01,67867
AMD Radeon HD 7900 Series,2019-03-01,65096
AMD Radeon HD 7900 Series,2019-04-01,62240
AMD Radeon HD 7900 Series,2019-05-01,65290
AMD Radeon HD 7900 Series,2019-06-01,62832
AMD Radeon HD 7900 Series,2019-07-01,55381
AMD Radeon HD 7900 Series,2019-08-01,54148
AMD Radeon HD 7900 Series,2019-09-01,57945
AMD Radeon HD 7900 Series,2019-10-01,48549
AMD Radeon HD 7900 Series,2019-11-01,50226
AMD Radeon HD 7900 Series,2019-12-01,54897
AMD Radeon HD 7900 Series,2020-01-01,53958
AMD Radeon HD 7900 Series,2020-02-01,54688
AMD Radeon HD 7900 Series,2020-03-01,53868
AMD Radeon HD 7900 Series,2020-04-01,64320
AMD Radeon HD 7900 Series,2020-05-01,65843
AMD Radeon HD 7900 Series,2020-06-01,54086
AMD Radeon HD 7900 Series,2020-07-01,49631
AMD Radeon HD 7900 Series,2020-08-01,41787
AMD Radeon HD 7900 Series,2020-09-01,44986
AMD Radeon HD 7900 Series,2020-10-01,42725
AMD Radeon HD 7900 Series,2020-11-01,48747
AMD Radeon HD 7900 Series,2020-12-01,37764
AMD Radeon HD 7900 Series,2021-01-01,45984
AMD Radeon HD 7900 Series,2021-02-01,44239
AMD Radeon HD 7900 Series,2021-03-01,43334
AMD Radeon HD 7900 Series,2021-04-01,42826
AMD Radeon HD 7900 Series,2021-05-01,41884
