card,date,real_users
AMD Radeon HD 8400,2014-09-01,13391
AMD Radeon HD 8400,2014-10-01,10954
AMD Radeon HD 8400,2014-11-01,13663
AMD Radeon HD 8400,2014-12-01,15104
AMD Radeon HD 8400,2015-01-01,16933
AMD Radeon HD 8400,2015-05-01,17610
AMD Radeon HD 8400,2015-06-01,18330
AMD Radeon HD 8400,2015-09-01,19234
AMD Radeon HD 8400,2015-11-01,28295
AMD Radeon HD 8400,2016-01-01,23417
AMD Radeon HD 8400,2016-02-01,21252
AMD Radeon HD 8400,2016-03-01,21977
AMD Radeon HD 8400,2016-04-01,21486
AMD Radeon HD 8400,2016-05-01,24781
AMD Radeon HD 8400,2016-06-01,23227
AMD Radeon HD 8400,2016-07-01,24314
AMD Radeon HD 8400,2016-08-01,22088
AMD Radeon HD 8400,2016-10-01,21815
AMD Radeon HD 8400,2016-11-01,21294
AMD Radeon HD 8400,2016-12-01,20263
