card,date,real_users
AMD Radeon HD 8650G,2014-09-01,16210
AMD Radeon HD 8650G,2014-10-01,15465
AMD Radeon HD 8650G,2014-11-01,18217
AMD Radeon HD 8650G,2014-12-01,19079
AMD Radeon HD 8650G,2015-01-01,20320
AMD Radeon HD 8650G,2015-05-01,20126
AMD Radeon HD 8650G,2015-06-01,20076
AMD Radeon HD 8650G,2015-09-01,20150
AMD Radeon HD 8650G,2015-11-01,26948
AMD Radeon HD 8650G,2016-01-01,22246
AMD Radeon HD 8650G,2016-02-01,19015
AMD Radeon HD 8650G,2016-03-01,19779
AMD Radeon HD 8650G,2016-04-01,19224
AMD Radeon HD 8650G,2016-05-01,21064
AMD Radeon HD 8650G,2016-06-01,17697
AMD Radeon HD 8650G,2016-07-01,17367
AMD Radeon HD 8650G,2016-08-01,17671
