card,date,real_users
AMD Radeon R5 Graphics,2016-06-01,38712
AMD Radeon R5 Graphics,2016-07-01,71786
AMD Radeon R5 Graphics,2016-08-01,72893
AMD Radeon R5 Graphics,2016-10-01,83624
AMD Radeon R5 Graphics,2016-11-01,79262
AMD Radeon R5 Graphics,2016-12-01,87014
AMD Radeon R5 Graphics,2017-08-01,81725
AMD Radeon R5 Graphics,2017-10-01,71055
AMD Radeon R5 Graphics,2017-11-01,53838
AMD Radeon R5 Graphics,2017-12-01,58120
AMD Radeon R5 Graphics,2018-01-01,59143
AMD Radeon R5 Graphics,2018-02-01,59794
AMD Radeon R5 Graphics,2018-03-01,71540
AMD Radeon R5 Graphics,2018-04-01,113523
AMD Radeon R5 Graphics,2018-05-01,116959
AMD Radeon R5 Graphics,2018-06-01,109619
AMD Radeon R5 Graphics,2018-07-01,106329
AMD Radeon R5 Graphics,2018-08-01,96997
AMD Radeon R5 Graphics,2018-09-01,109785
AMD Radeon R5 Graphics,2018-10-01,91304
AMD Radeon R5 Graphics,2018-11-01,108724
AMD Radeon R5 Graphics,2018-12-01,127699
AMD Radeon R5 Graphics,2019-01-01,120509
AMD Radeon R5 Graphics,2019-02-01,107970
AMD Radeon R5 Graphics,2019-03-01,108999
AMD Radeon R5 Graphics,2019-04-01,109662
AMD Radeon R5 Graphics,2019-05-01,111471
AMD Radeon R5 Graphics,2019-06-01,99888
AMD Radeon R5 Graphics,2019-07-01,98455
AMD Radeon R5 Graphics,2019-08-01,92199
AMD Radeon R5 Graphics,2019-09-01,96575
AMD Radeon R5 Graphics,2019-10-01,88531
AMD Radeon R5 Graphics,2019-11-01,89798
AMD Radeon R5 Graphics,2019-12-01,99501
AMD Radeon R5 Graphics,2020-01-01,84309
AMD Radeon R5 Graphics,2020-02-01,94793
AMD Radeon R5 Graphics,2020-03-01,98117
AMD Radeon R5 Graphics,2020-04-01,119112
AMD Radeon R5 Graphics,2020-05-01,122280
AMD Radeon R5 Graphics,2020-06-01,110337
AMD Radeon R5 Graphics,2020-07-01,97194
AMD Radeon R5 Graphics,2020-08-01,89273
AMD Radeon R5 Graphics,2020-09-01,87928
AMD Radeon R5 Graphics,2020-10-01,89724
AMD Radeon R5 Graphics,2020-11-01,92852
AMD Radeon R5 Graphics,2020-12-01,82610
AMD Radeon R5 Graphics,2021-01-01,84707
AMD Radeon R5 Graphics,2021-02-01,78648
AMD Radeon R5 Graphics,2021-03-01,79021
AMD Radeon R5 Graphics,2021-04-01,73056
AMD Radeon R5 Graphics,2021-05-01,76377
AMD Radeon R5 Graphics,2021-06-01,67626
AMD Radeon R5 Graphics,2021-07-01,75698
AMD Radeon R5 Graphics,2021-08-01,59820
AMD Radeon R5 Graphics,2021-09-01,61735
AMD Radeon R5 Graphics,2021-10-01,63316
AMD Radeon R5 Graphics,2021-11-01,63385
AMD Radeon R5 Graphics,2021-12-01,57460
AMD Radeon R5 Graphics,2022-01-01,60636
AMD Radeon R5 Graphics,2022-02-01,56010
AMD Radeon R5 Graphics,2022-03-01,53518
AMD Radeon R5 Graphics,2022-04-01,57117
AMD Radeon R5 Graphics,2022-05-01,53436
AMD Radeon R5 Graphics,2022-06-01,51352
AMD Radeon R5 Graphics,2022-07-01,42998
AMD Radeon R5 Graphics,2022-08-01,48948
AMD Radeon R5 Graphics,2022-09-01,43568
AMD Radeon R5 Graphics,2022-10-01,42488
AMD Radeon R5 Graphics,2022-11-01,48069
AMD Radeon R5 Graphics,2022-12-01,47395
AMD Radeon R5 Graphics,2023-01-01,52402
