card,date,real_users
AMD Radeon R5 M330,2016-07-01,19683
AMD Radeon R5 M330,2016-08-01,22088
AMD Radeon R5 M330,2016-10-01,27874
AMD Radeon R5 M330,2016-11-01,28392
AMD Radeon R5 M330,2016-12-01,30991
AMD Radeon R5 M330,2017-08-01,35909
AMD Radeon R5 M330,2017-10-01,29068
AMD Radeon R5 M330,2017-11-01,22432
AMD Radeon R5 M330,2018-03-01,30206
AMD Radeon R5 M330,2018-04-01,46441
AMD Radeon R5 M330,2018-05-01,43859
AMD Radeon R5 M330,2018-06-01,43230
AMD Radeon R5 M330,2018-07-01,42531
AMD Radeon R5 M330,2018-08-01,39361
AMD Radeon R5 M330,2018-09-01,41368
AMD Radeon R5 M330,2018-10-01,34239
AMD Radeon R5 M330,2018-11-01,37691
AMD Radeon R5 M330,2018-12-01,44203
AMD Radeon R5 M330,2019-01-01,43383
AMD Radeon R5 M330,2019-02-01,41645
AMD Radeon R5 M330,2019-03-01,37846
AMD Radeon R5 M330,2019-04-01,35566
AMD Radeon R5 M330,2019-05-01,36626
AMD Radeon R5 M330,2019-06-01,35444
AMD Radeon R5 M330,2019-07-01,36920
AMD Radeon R5 M330,2019-08-01,33660
AMD Radeon R5 M330,2019-09-01,32191
AMD Radeon R5 M330,2019-10-01,27130
AMD Radeon R5 M330,2019-11-01,28918
AMD Radeon R5 M330,2019-12-01,30879
AMD Radeon R5 M330,2020-01-01,32037
AMD Radeon R5 M330,2020-02-01,36458
AMD Radeon R5 M330,2020-03-01,44249
AMD Radeon R5 M330,2020-04-01,59556
AMD Radeon R5 M330,2020-05-01,54085
AMD Radeon R5 M330,2020-06-01,45432
AMD Radeon R5 M330,2020-07-01,43427
AMD Radeon R5 M330,2020-08-01,37988
AMD Radeon R5 M330,2020-09-01,36807
AMD Radeon R5 M330,2020-10-01,38453
AMD Radeon R5 M330,2020-11-01,41783
AMD Radeon R5 M330,2020-12-01,35404
AMD Radeon R5 M330,2021-01-01,43564
AMD Radeon R5 M330,2021-02-01,41781
AMD Radeon R5 M330,2021-03-01,40785
AMD Radeon R5 M330,2021-04-01,40306
AMD Radeon R5 M330,2021-05-01,41884
AMD Radeon R5 M330,2021-06-01,36228
AMD Radeon R5 M330,2021-07-01,39070
