card,date,real_users
AMD Radeon R9 390 Series,2016-06-01,23227
AMD Radeon R9 390 Series,2016-07-01,57892
AMD Radeon R9 390 Series,2016-08-01,56326
AMD Radeon R9 390 Series,2016-10-01,61809
AMD Radeon R9 390 Series,2016-11-01,56785
AMD Radeon R9 390 Series,2016-12-01,56022
AMD Radeon R9 390 Series,2017-08-01,48292
AMD Radeon R9 390 Series,2017-10-01,27453
AMD Radeon R9 390 Series,2018-03-01,28616
AMD Radeon R9 390 Series,2018-04-01,46441
AMD Radeon R9 390 Series,2018-05-01,47108
AMD Radeon R9 390 Series,2018-06-01,43230
AMD Radeon R9 390 Series,2018-07-01,40895
AMD Radeon R9 390 Series,2018-08-01,37955
AMD Radeon R9 390 Series,2018-09-01,41368
AMD Radeon R9 390 Series,2018-10-01,34239
AMD Radeon R9 390 Series,2018-11-01,37691
AMD Radeon R9 390 Series,2018-12-01,40929
AMD Radeon R9 390 Series,2019-01-01,38563
AMD Radeon R9 390 Series,2019-02-01,35476
AMD Radeon R9 390 Series,2019-03-01,34819
AMD Radeon R9 390 Series,2019-04-01,32602
AMD Radeon R9 390 Series,2019-05-01,36626
AMD Radeon R9 390 Series,2019-06-01,35444
AMD Radeon R9 390 Series,2019-07-01,32305
AMD Radeon R9 390 Series,2019-08-01,30733
AMD Radeon R9 390 Series,2019-09-01,32191
AMD Radeon R9 390 Series,2019-10-01,27130
AMD Radeon R9 390 Series,2019-11-01,28918
AMD Radeon R9 390 Series,2019-12-01,32595
AMD Radeon R9 390 Series,2020-01-01,33723
AMD Radeon R9 390 Series,2020-02-01,30990
AMD Radeon R9 390 Series,2020-03-01,30782
AMD Radeon R9 390 Series,2020-04-01,40498
AMD Radeon R9 390 Series,2020-05-01,37624
AMD Radeon R9 390 Series,2020-06-01,34615
