card,date,real_users
AMD Radeon RX 5500 XT,2020-10-01,34180
AMD Radeon RX 5500 XT,2020-11-01,44105
AMD Radeon RX 5500 XT,2020-12-01,47206
AMD Radeon RX 5500 XT,2021-01-01,70186
AMD Radeon RX 5500 XT,2021-02-01,78648
AMD Radeon RX 5500 XT,2021-03-01,86668
AMD Radeon RX 5500 XT,2021-04-01,85652
AMD Radeon RX 5500 XT,2021-05-01,88696
AMD Radeon RX 5500 XT,2021-06-01,74872
AMD Radeon RX 5500 XT,2021-07-01,73256
AMD Radeon RX 5500 XT,2021-08-01,64606
AMD Radeon RX 5500 XT,2021-09-01,68859
AMD Radeon RX 5500 XT,2021-10-01,73057
AMD Radeon RX 5500 XT,2021-11-01,73527
AMD Radeon RX 5500 XT,2021-12-01,69951
AMD Radeon RX 5500 XT,2022-01-01,71182
AMD Radeon RX 5500 XT,2022-02-01,72012
AMD Radeon RX 5500 XT,2022-03-01,66898
AMD Radeon RX 5500 XT,2022-04-01,70716
AMD Radeon RX 5500 XT,2022-05-01,75936
AMD Radeon RX 5500 XT,2022-06-01,64191
AMD Radeon RX 5500 XT,2022-07-01,77933
AMD Radeon RX 5500 XT,2022-08-01,61829
AMD Radeon RX 5500 XT,2022-09-01,56382
AMD Radeon RX 5500 XT,2022-10-01,56650
AMD Radeon RX 5500 XT,2022-11-01,62207
AMD Radeon RX 5500 XT,2022-12-01,61334
AMD Radeon RX 5500 XT,2023-01-01,67814
AMD Radeon RX 5500 XT,2023-02-01,63498
