card,date,real_users
AMD Radeon RX 5700,2020-01-01,25292
AMD Radeon RX 5700,2020-02-01,29167
AMD Radeon RX 5700,2020-03-01,36553
AMD Radeon RX 5700,2020-04-01,47645
AMD Radeon RX 5700,2020-05-01,49382
AMD Radeon RX 5700,2020-06-01,49759
AMD Radeon RX 5700,2020-07-01,49631
AMD Radeon RX 5700,2020-08-01,45586
AMD Radeon RX 5700,2020-09-01,53166
AMD Radeon RX 5700,2020-10-01,51271
AMD Radeon RX 5700,2020-11-01,55711
AMD Radeon RX 5700,2020-12-01,47206
AMD Radeon RX 5700,2021-01-01,58085
AMD Radeon RX 5700,2021-02-01,56528
AMD Radeon RX 5700,2021-03-01,56079
AMD Radeon RX 5700,2021-04-01,55422
AMD Radeon RX 5700,2021-05-01,51739
AMD Radeon RX 5700,2021-06-01,43474
AMD Radeon RX 5700,2021-07-01,43953
AMD Radeon RX 5700,2021-08-01,35892
AMD Radeon RX 5700,2021-09-01,40365
AMD Radeon RX 5700,2021-10-01,41399
AMD Radeon RX 5700,2021-11-01,40566
AMD Radeon RX 5700,2021-12-01,37474
AMD Radeon RX 5700,2022-01-01,42182
AMD Radeon RX 5700,2022-05-01,44999
AMD Radeon RX 5700,2022-07-01,42998
