card,date,real_users
AMD Radeon RX 580 2048SP,2019-09-01,24143
AMD Radeon RX 580 2048SP,2019-11-01,28918
AMD Radeon RX 580 2048SP,2020-01-01,33723
AMD Radeon RX 580 2048SP,2020-02-01,51042
AMD Radeon RX 580 2048SP,2020-03-01,50020
AMD Radeon RX 580 2048SP,2020-04-01,66703
AMD Radeon RX 580 2048SP,2020-05-01,58788
AMD Radeon RX 580 2048SP,2020-06-01,62740
AMD Radeon RX 580 2048SP,2020-07-01,57902
AMD Radeon RX 580 2048SP,2020-08-01,56983
AMD Radeon RX 580 2048SP,2020-09-01,57255
AMD Radeon RX 580 2048SP,2020-10-01,51271
AMD Radeon RX 580 2048SP,2020-11-01,58032
AMD Radeon RX 580 2048SP,2020-12-01,63728
AMD Radeon RX 580 2048SP,2021-01-01,58085
AMD Radeon RX 580 2048SP,2021-02-01,63901
AMD Radeon RX 580 2048SP,2021-03-01,61178
AMD Radeon RX 580 2048SP,2021-04-01,62979
AMD Radeon RX 580 2048SP,2021-05-01,46812
AMD Radeon RX 580 2048SP,2021-06-01,50719
AMD Radeon RX 580 2048SP,2021-07-01,48837
AMD Radeon RX 580 2048SP,2021-08-01,45463
AMD Radeon RX 580 2048SP,2021-09-01,45114
AMD Radeon RX 580 2048SP,2021-10-01,36528
AMD Radeon RX 580 2048SP,2021-11-01,40566
AMD Radeon RX 580 2048SP,2021-12-01,42470
AMD Radeon RX 580 2048SP,2022-01-01,44818
AMD Radeon RX 580 2048SP,2022-02-01,48008
AMD Radeon RX 580 2048SP,2022-03-01,40139
AMD Radeon RX 580 2048SP,2022-04-01,48957
AMD Radeon RX 580 2048SP,2022-07-01,42998
AMD Radeon RX 580 2048SP,2022-09-01,41005
AMD Radeon RX 580 2048SP,2022-11-01,53724
AMD Radeon RX 580 2048SP,2022-12-01,58546
AMD Radeon RX 580 2048SP,2023-01-01,77062
AMD Radeon RX 580 2048SP,2023-02-01,72157
