card,date,real_users
AMD Radeon RX 590 Series,2019-09-01,33801
AMD Radeon RX 590 Series,2019-10-01,31414
AMD Radeon RX 590 Series,2019-11-01,41094
AMD Radeon RX 590 Series,2019-12-01,46319
AMD Radeon RX 590 Series,2020-01-01,60702
AMD Radeon RX 590 Series,2020-02-01,71094
AMD Radeon RX 590 Series,2020-03-01,76955
AMD Radeon RX 590 Series,2020-04-01,92907
AMD Radeon RX 590 Series,2020-05-01,94061
AMD Radeon RX 590 Series,2020-06-01,86539
AMD Radeon RX 590 Series,2020-07-01,80650
AMD Radeon RX 590 Series,2020-08-01,74078
AMD Radeon RX 590 Series,2020-09-01,79749
AMD Radeon RX 590 Series,2020-10-01,79042
AMD Radeon RX 590 Series,2020-11-01,85888
AMD Radeon RX 590 Series,2020-12-01,73169
AMD Radeon RX 590 Series,2021-01-01,82287
AMD Radeon RX 590 Series,2021-02-01,83563
AMD Radeon RX 590 Series,2021-03-01,91767
AMD Radeon RX 590 Series,2021-04-01,80613
AMD Radeon RX 590 Series,2021-05-01,78841
AMD Radeon RX 590 Series,2021-06-01,65211
AMD Radeon RX 590 Series,2021-07-01,63488
AMD Radeon RX 590 Series,2021-08-01,59820
AMD Radeon RX 590 Series,2021-09-01,61735
AMD Radeon RX 590 Series,2021-10-01,60881
AMD Radeon RX 590 Series,2021-11-01,63385
AMD Radeon RX 590 Series,2021-12-01,57460
AMD Radeon RX 590 Series,2022-01-01,58000
AMD Radeon RX 590 Series,2022-02-01,58677
AMD Radeon RX 590 Series,2022-03-01,58870
AMD Radeon RX 590 Series,2022-04-01,59836
AMD Radeon RX 590 Series,2022-05-01,61874
AMD Radeon RX 590 Series,2022-06-01,51352
AMD Radeon RX 590 Series,2022-07-01,67184
AMD Radeon RX 590 Series,2022-08-01,48948
AMD Radeon RX 590 Series,2022-09-01,46131
AMD Radeon RX 590 Series,2022-10-01,45320
AMD Radeon RX 590 Series,2022-11-01,50897
AMD Radeon RX 590 Series,2022-12-01,44607
AMD Radeon RX 590 Series,2023-01-01,52402
AMD Radeon RX 590 Series,2023-02-01,43294
