card,date,real_users
AMD Radeon RX Vega 11 Graphics,2019-09-01,25753
AMD Radeon RX Vega 11 Graphics,2019-10-01,22846
AMD Radeon RX Vega 11 Graphics,2019-11-01,25874
AMD Radeon RX Vega 11 Graphics,2019-12-01,29164
AMD Radeon RX Vega 11 Graphics,2020-01-01,33723
AMD Radeon RX Vega 11 Graphics,2020-02-01,36458
AMD Radeon RX Vega 11 Graphics,2020-03-01,40401
AMD Radeon RX Vega 11 Graphics,2020-04-01,47645
AMD Radeon RX Vega 11 Graphics,2020-05-01,49382
AMD Radeon RX Vega 11 Graphics,2020-06-01,45432
AMD Radeon RX Vega 11 Graphics,2020-07-01,45495
AMD Radeon RX Vega 11 Graphics,2020-08-01,49385
AMD Radeon RX Vega 11 Graphics,2020-09-01,57255
AMD Radeon RX Vega 11 Graphics,2020-10-01,61952
AMD Radeon RX Vega 11 Graphics,2020-11-01,71960
AMD Radeon RX Vega 11 Graphics,2020-12-01,66088
AMD Radeon RX Vega 11 Graphics,2021-01-01,87128
AMD Radeon RX Vega 11 Graphics,2021-02-01,90936
AMD Radeon RX Vega 11 Graphics,2021-03-01,96865
AMD Radeon RX Vega 11 Graphics,2021-04-01,98248
AMD Radeon RX Vega 11 Graphics,2021-05-01,105943
AMD Radeon RX Vega 11 Graphics,2021-06-01,101439
AMD Radeon RX Vega 11 Graphics,2021-07-01,109884
AMD Radeon RX Vega 11 Graphics,2021-08-01,93319
AMD Radeon RX Vega 11 Graphics,2021-09-01,102101
AMD Radeon RX Vega 11 Graphics,2021-10-01,104715
AMD Radeon RX Vega 11 Graphics,2021-11-01,106487
AMD Radeon RX Vega 11 Graphics,2021-12-01,99930
AMD Radeon RX Vega 11 Graphics,2022-01-01,102818
AMD Radeon RX Vega 11 Graphics,2022-02-01,98684
AMD Radeon RX Vega 11 Graphics,2022-03-01,93657
AMD Radeon RX Vega 11 Graphics,2022-04-01,97914
AMD Radeon RX Vega 11 Graphics,2022-05-01,101248
AMD Radeon RX Vega 11 Graphics,2022-06-01,89867
AMD Radeon RX Vega 11 Graphics,2022-07-01,99432
AMD Radeon RX Vega 11 Graphics,2022-08-01,85015
AMD Radeon RX Vega 11 Graphics,2022-09-01,74322
AMD Radeon RX Vega 11 Graphics,2022-10-01,76478
AMD Radeon RX Vega 11 Graphics,2022-11-01,79173
AMD Radeon RX Vega 11 Graphics,2022-12-01,78062
AMD Radeon RX Vega 11 Graphics,2023-01-01,83227
AMD Radeon RX Vega 11 Graphics,2023-02-01,69271
