card,date,real_users
ATI Mobility Radeon HD 5470,2012-03-01,43455
ATI Mobility Radeon HD 5470,2012-04-01,54852
ATI Mobility Radeon HD 5470,2012-05-01,52908
ATI Mobility Radeon HD 5470,2012-07-01,49461
ATI Mobility Radeon HD 5470,2012-08-01,44601
ATI Mobility Radeon HD 5470,2012-10-01,54340
ATI Mobility Radeon HD 5470,2012-12-01,53521
ATI Mobility Radeon HD 5470,2013-02-01,51540
ATI Mobility Radeon HD 5470,2013-03-01,41713
ATI Mobility Radeon HD 5470,2013-06-01,41358
ATI Mobility Radeon HD 5470,2013-07-01,40193
ATI Mobility Radeon HD 5470,2013-09-01,46055
ATI Mobility Radeon HD 5470,2013-12-01,48174
ATI Mobility Radeon HD 5470,2014-01-01,48781
ATI Mobility Radeon HD 5470,2014-04-01,37807
ATI Mobility Radeon HD 5470,2014-05-01,37048
ATI Mobility Radeon HD 5470,2014-06-01,40041
ATI Mobility Radeon HD 5470,2014-07-01,39361
ATI Mobility Radeon HD 5470,2014-08-01,32991
ATI Mobility Radeon HD 5470,2014-09-01,34535
ATI Mobility Radeon HD 5470,2014-10-01,32864
ATI Mobility Radeon HD 5470,2014-11-01,36435
ATI Mobility Radeon HD 5470,2014-12-01,37363
ATI Mobility Radeon HD 5470,2015-01-01,37253
