card,date,real_users
ATI Radeon 9600,2008-11-01,21598
ATI Radeon 9600,2009-01-01,22199
ATI Radeon 9600,2009-02-01,23641
ATI Radeon 9600,2009-03-01,21346
ATI Radeon 9600,2009-04-01,21009
ATI Radeon 9600,2009-05-01,17763
ATI Radeon 9600,2009-06-01,23321
ATI Radeon 9600,2009-07-01,17819
ATI Radeon 9600,2009-08-01,14128
ATI Radeon 9600,2009-09-01,14895
ATI Radeon 9600,2009-10-01,13093
ATI Radeon 9600,2009-11-01,13221
ATI Radeon 9600,2009-12-01,13720
ATI Radeon 9600,2010-01-01,16834
ATI Radeon 9600,2010-02-01,13751
ATI Radeon 9600,2010-03-01,13175
