card,date,real_users
ATI Radeon HD 3850,2008-11-01,9738
ATI Radeon HD 3850,2009-01-01,13349
ATI Radeon HD 3850,2009-02-01,15137
ATI Radeon HD 3850,2009-03-01,16420
ATI Radeon HD 3850,2009-04-01,16202
ATI Radeon HD 3850,2009-05-01,14372
ATI Radeon HD 3850,2009-06-01,18802
ATI Radeon HD 3850,2009-07-01,15298
ATI Radeon HD 3850,2009-08-01,13196
ATI Radeon HD 3850,2009-09-01,14544
ATI Radeon HD 3850,2009-10-01,12778
ATI Radeon HD 3850,2009-11-01,15866
ATI Radeon HD 3850,2009-12-01,18364
ATI Radeon HD 3850,2010-01-01,19480
ATI Radeon HD 3850,2010-02-01,19153
ATI Radeon HD 3850,2010-03-01,18206
ATI Radeon HD 3850,2010-05-01,13845
ATI Radeon HD 3850,2010-06-01,15627
ATI Radeon HD 3850,2010-07-01,14258
ATI Radeon HD 3850,2010-08-01,14106
ATI Radeon HD 3850,2010-11-01,15051
ATI Radeon HD 3850,2011-01-01,16468
ATI Radeon HD 3850,2011-04-01,15952
ATI Radeon HD 3850,2011-10-01,21635
ATI Radeon HD 3850,2011-11-01,22797
ATI Radeon HD 3850,2011-12-01,22428
