card,date,real_users
ATI Radeon HD 5800 Series,2009-12-01,11609
ATI Radeon HD 5800 Series,2010-01-01,24771
ATI Radeon HD 5800 Series,2010-02-01,40272
ATI Radeon HD 5800 Series,2010-03-01,45995
ATI Radeon HD 5800 Series,2010-05-01,52254
ATI Radeon HD 5800 Series,2010-06-01,66536
ATI Radeon HD 5800 Series,2010-07-01,76433
ATI Radeon HD 5800 Series,2010-08-01,69606
ATI Radeon HD 5800 Series,2010-11-01,111888
ATI Radeon HD 5800 Series,2011-10-01,144233
ATI Radeon HD 5800 Series,2011-11-01,169476
ATI Radeon HD 5800 Series,2015-05-01,31866
ATI Radeon HD 5800 Series,2015-06-01,32296
ATI Radeon HD 5800 Series,2015-09-01,29309
ATI Radeon HD 5800 Series,2015-11-01,41770
ATI Radeon HD 5800 Series,2016-01-01,30442
ATI Radeon HD 5800 Series,2016-02-01,26845
ATI Radeon HD 5800 Series,2016-03-01,26373
ATI Radeon HD 5800 Series,2016-04-01,27140
ATI Radeon HD 5800 Series,2016-05-01,28498
ATI Radeon HD 5800 Series,2016-06-01,24333
ATI Radeon HD 5800 Series,2016-07-01,26630
ATI Radeon HD 5800 Series,2016-08-01,23193
ATI Radeon HD 5800 Series,2016-10-01,24239
ATI Radeon HD 5800 Series,2016-11-01,22477
ATI Radeon HD 5800 Series,2016-12-01,20263
