card,date,real_users
Intel(R) Iris(R) Xe Graphics,2021-06-01,50719
Intel(R) Iris(R) Xe Graphics,2021-07-01,65930
Intel(R) Iris(R) Xe Graphics,2021-08-01,76570
Intel(R) Iris(R) Xe Graphics,2021-09-01,106850
Intel(R) Iris(R) Xe Graphics,2021-10-01,131503
Intel(R) Iris(R) Xe Graphics,2021-11-01,152125
Intel(R) Iris(R) Xe Graphics,2021-12-01,164885
Intel(R) Iris(R) Xe Graphics,2022-01-01,197728
Intel(R) Iris(R) Xe Graphics,2022-02-01,213371
Intel(R) Iris(R) Xe Graphics,2022-03-01,230130
Intel(R) Iris(R) Xe Graphics,2022-04-01,255666
Intel(R) Iris(R) Xe Graphics,2022-05-01,241871
Intel(R) Iris(R) Xe Graphics,2022-06-01,261900
Intel(R) Iris(R) Xe Graphics,2022-07-01,196178
Intel(R) Iris(R) Xe Graphics,2022-08-01,298842
Intel(R) Iris(R) Xe Graphics,2022-09-01,333171
Intel(R) Iris(R) Xe Graphics,2022-10-01,356900
Intel(R) Iris(R) Xe Graphics,2022-11-01,426969
Intel(R) Iris(R) Xe Graphics,2022-12-01,443283
Intel(R) Iris(R) Xe Graphics,2023-01-01,502447
Intel(R) Iris(R) Xe Graphics,2023-02-01,476242
