card,date,real_users
Intel(R) UHD Graphics 630,2021-06-01,38643
Intel(R) UHD Graphics 630,2021-07-01,43953
Intel(R) UHD Graphics 630,2021-08-01,43070
Intel(R) UHD Graphics 630,2021-09-01,47489
Intel(R) UHD Graphics 630,2021-10-01,51140
Intel(R) UHD Graphics 630,2021-11-01,53243
Intel(R) UHD Graphics 630,2021-12-01,54961
Intel(R) UHD Graphics 630,2022-01-01,63273
Intel(R) UHD Graphics 630,2022-02-01,61344
Intel(R) UHD Graphics 630,2022-03-01,61546
Intel(R) UHD Graphics 630,2022-04-01,65276
Intel(R) UHD Graphics 630,2022-05-01,64686
Intel(R) UHD Graphics 630,2022-06-01,66758
Intel(R) UHD Graphics 630,2022-07-01,53747
Intel(R) UHD Graphics 630,2022-08-01,64405
Intel(R) UHD Graphics 630,2022-09-01,58945
Intel(R) UHD Graphics 630,2022-10-01,59483
Intel(R) UHD Graphics 630,2022-11-01,67862
Intel(R) UHD Graphics 630,2022-12-01,66910
Intel(R) UHD Graphics 630,2023-01-01,73979
Intel(R) UHD Graphics 630,2023-02-01,63498
