card,date,real_users
Intel G33/G31 Express,2010-01-01,12505
Intel G33/G31 Express,2010-02-01,12523
Intel G33/G31 Express,2010-07-01,14024
Intel G33/G31 Express,2010-08-01,12256
Intel G33/G31 Express,2012-04-01,29420
Intel G33/G31 Express,2012-05-01,28679
Intel G33/G31 Express,2012-07-01,28930
Intel G33/G31 Express,2012-08-01,23587
Intel G33/G31 Express,2014-09-01,21144
Intel G33/G31 Express,2014-10-01,18687
Intel G33/G31 Express,2014-11-01,22013
Intel G33/G31 Express,2014-12-01,22259
Intel G33/G31 Express,2015-01-01,22860
Intel G33/G31 Express,2015-05-01,21803
Intel G33/G31 Express,2015-06-01,21822
Intel G33/G31 Express,2015-09-01,21066
Intel G33/G31 Express,2015-11-01,29643
Intel G33/G31 Express,2016-01-01,25759
Intel G33/G31 Express,2016-02-01,23489
Intel G33/G31 Express,2016-03-01,21977
Intel G33/G31 Express,2016-04-01,23747
Intel G33/G31 Express,2016-05-01,24781
