card,date,real_users
Intel HD Graphics 2500,2013-09-01,32985
Intel HD Graphics 2500,2013-12-01,61116
Intel HD Graphics 2500,2014-01-01,73172
Intel HD Graphics 2500,2014-04-01,73725
Intel HD Graphics 2500,2014-05-01,75353
Intel HD Graphics 2500,2014-06-01,89916
Intel HD Graphics 2500,2014-07-01,107350
Intel HD Graphics 2500,2014-08-01,97705
Intel HD Graphics 2500,2014-09-01,108539
Intel HD Graphics 2500,2014-10-01,99883
Intel HD Graphics 2500,2014-11-01,119933
Intel HD Graphics 2500,2014-12-01,128784
Intel HD Graphics 2500,2015-01-01,134621
Intel HD Graphics 2500,2015-05-01,140883
Intel HD Graphics 2500,2015-06-01,145772
Intel HD Graphics 2500,2015-09-01,152041
Intel HD Graphics 2500,2015-11-01,208851
Intel HD Graphics 2500,2016-01-01,176800
Intel HD Graphics 2500,2016-02-01,165545
Intel HD Graphics 2500,2016-03-01,159338
Intel HD Graphics 2500,2016-04-01,165104
Intel HD Graphics 2500,2016-05-01,174709
Intel HD Graphics 2500,2016-06-01,81850
