card,date,real_users
Intel Haswell,2016-06-01,110608
Intel Haswell,2016-07-01,239673
Intel Haswell,2016-08-01,229725
Intel Haswell,2016-10-01,249662
Intel Haswell,2016-11-01,237787
Intel Haswell,2016-12-01,239586
Intel Haswell,2017-08-01,169642
Intel Haswell,2017-10-01,134037
Intel Haswell,2017-11-01,98703
Intel Haswell,2017-12-01,102103
Intel Haswell,2018-01-01,91250
Intel Haswell,2018-02-01,94413
Intel Haswell,2018-03-01,106516
Intel Haswell,2018-04-01,168565
Intel Haswell,2018-05-01,160819
Intel Haswell,2018-06-01,155938
Intel Haswell,2018-07-01,152132
Intel Haswell,2018-08-01,139170
Intel Haswell,2018-09-01,146380
Intel Haswell,2018-10-01,119836
Intel Haswell,2018-11-01,127569
Intel Haswell,2018-12-01,150620
Intel Haswell,2019-01-01,144611
Intel Haswell,2019-02-01,131107
Intel Haswell,2019-03-01,127165
Intel Haswell,2019-04-01,114108
Intel Haswell,2019-05-01,124210
Intel Haswell,2019-06-01,117610
Intel Haswell,2019-07-01,118454
Intel Haswell,2019-08-01,111224
Intel Haswell,2019-09-01,117500
Intel Haswell,2019-10-01,98527
Intel Haswell,2019-11-01,100452
Intel Haswell,2019-12-01,113225
Intel Haswell,2020-01-01,104543
Intel Haswell,2020-02-01,123960
Intel Haswell,2020-03-01,126976
Intel Haswell,2020-04-01,164375
Intel Haswell,2020-05-01,164607
Intel Haswell,2020-06-01,140625
Intel Haswell,2020-07-01,124077
Intel Haswell,2020-08-01,108267
Intel Haswell,2020-09-01,112466
Intel Haswell,2020-10-01,113223
Intel Haswell,2020-11-01,118387
Intel Haswell,2020-12-01,99133
Intel Haswell,2021-01-01,111330
Intel Haswell,2021-02-01,110599
Intel Haswell,2021-03-01,107061
Intel Haswell,2021-04-01,100767
Intel Haswell,2021-05-01,101015
Intel Haswell,2021-06-01,103854
Intel Haswell,2021-07-01,114768
Intel Haswell,2021-08-01,98105
Intel Haswell,2021-09-01,97352
Intel Haswell,2021-10-01,97409
Intel Haswell,2021-11-01,98881
Intel Haswell,2021-12-01,94934
Intel Haswell,2022-01-01,102818
Intel Haswell,2022-02-01,98684
Intel Haswell,2022-03-01,90981
Intel Haswell,2022-04-01,97914
Intel Haswell,2022-05-01,84373
Intel Haswell,2022-06-01,87300
Intel Haswell,2022-07-01,67184
Intel Haswell,2022-08-01,85015
Intel Haswell,2022-09-01,71759
Intel Haswell,2022-10-01,70813
Intel Haswell,2022-11-01,79173
Intel Haswell,2022-12-01,86426
Intel Haswell,2023-01-01,92474
Intel Haswell,2023-02-01,72157
