card,date,real_users
Intel Iris Graphics 5100,2014-09-01,20439
Intel Iris Graphics 5100,2014-10-01,19332
Intel Iris Graphics 5100,2014-11-01,24290
Intel Iris Graphics 5100,2014-12-01,27028
Intel Iris Graphics 5100,2015-01-01,32173
Intel Iris Graphics 5100,2015-05-01,31866
Intel Iris Graphics 5100,2015-06-01,34042
Intel Iris Graphics 5100,2015-09-01,32056
Intel Iris Graphics 5100,2015-11-01,53897
Intel Iris Graphics 5100,2016-01-01,42151
Intel Iris Graphics 5100,2016-02-01,38030
Intel Iris Graphics 5100,2016-03-01,36263
Intel Iris Graphics 5100,2016-04-01,38449
Intel Iris Graphics 5100,2016-05-01,43367
Intel Iris Graphics 5100,2016-06-01,28758
Intel Iris Graphics 5100,2017-08-01,28480
Intel Iris Graphics 5100,2018-04-01,34401
Intel Iris Graphics 5100,2018-05-01,32488
Intel Iris Graphics 5100,2018-06-01,27790
Intel Iris Graphics 5100,2018-07-01,27809
Intel Iris Graphics 5100,2018-08-01,23897
Intel Iris Graphics 5100,2018-09-01,27048
Intel Iris Graphics 5100,2018-10-01,22826
Intel Iris Graphics 5100,2018-11-01,27543
Intel Iris Graphics 5100,2018-12-01,29469
Intel Iris Graphics 5100,2019-01-01,27315
Intel Iris Graphics 5100,2019-02-01,24679
Intel Iris Graphics 5100,2019-03-01,25735
Intel Iris Graphics 5100,2019-04-01,23710
Intel Iris Graphics 5100,2019-05-01,27071
Intel Iris Graphics 5100,2020-03-01,28858
Intel Iris Graphics 5100,2020-04-01,40498
Intel Iris Graphics 5100,2020-05-01,35273
