card,date,real_users
Intel Ivy Bridge,2016-06-01,75213
Intel Ivy Bridge,2016-07-01,160939
Intel Ivy Bridge,2016-08-01,151309
Intel Ivy Bridge,2016-10-01,157553
Intel Ivy Bridge,2016-11-01,151427
Intel Ivy Bridge,2016-12-01,148996
Intel Ivy Bridge,2017-08-01,106490
Intel Ivy Bridge,2017-10-01,80745
Intel Ivy Bridge,2017-11-01,61315
Intel Ivy Bridge,2017-12-01,62832
Intel Ivy Bridge,2018-01-01,59143
Intel Ivy Bridge,2018-02-01,59794
Intel Ivy Bridge,2018-03-01,69950
Intel Ivy Bridge,2018-04-01,104923
Intel Ivy Bridge,2018-05-01,102339
Intel Ivy Bridge,2018-06-01,100356
Intel Ivy Bridge,2018-07-01,94878
Intel Ivy Bridge,2018-08-01,85751
Intel Ivy Bridge,2018-09-01,89101
Intel Ivy Bridge,2018-10-01,75611
Intel Ivy Bridge,2018-11-01,81180
Intel Ivy Bridge,2018-12-01,98230
Intel Ivy Bridge,2019-01-01,94800
Intel Ivy Bridge,2019-02-01,83291
Intel Ivy Bridge,2019-03-01,81749
Intel Ivy Bridge,2019-04-01,75578
Intel Ivy Bridge,2019-05-01,81214
Intel Ivy Bridge,2019-06-01,74110
Intel Ivy Bridge,2019-07-01,76918
Intel Ivy Bridge,2019-08-01,73174
Intel Ivy Bridge,2019-09-01,75650
Intel Ivy Bridge,2019-10-01,65684
Intel Ivy Bridge,2019-11-01,66968
Intel Ivy Bridge,2019-12-01,73768
Intel Ivy Bridge,2020-01-01,72506
Intel Ivy Bridge,2020-02-01,78386
Intel Ivy Bridge,2020-03-01,71183
Intel Ivy Bridge,2020-04-01,97672
Intel Ivy Bridge,2020-05-01,96413
Intel Ivy Bridge,2020-06-01,84375
Intel Ivy Bridge,2020-07-01,78582
Intel Ivy Bridge,2020-08-01,72178
Intel Ivy Bridge,2020-09-01,75659
Intel Ivy Bridge,2020-10-01,76906
Intel Ivy Bridge,2020-11-01,78924
Intel Ivy Bridge,2020-12-01,68449
Intel Ivy Bridge,2021-01-01,77447
Intel Ivy Bridge,2021-02-01,76190
Intel Ivy Bridge,2021-03-01,79021
Intel Ivy Bridge,2021-04-01,73056
Intel Ivy Bridge,2021-05-01,73913
Intel Ivy Bridge,2021-06-01,79702
Intel Ivy Bridge,2021-07-01,87907
Intel Ivy Bridge,2021-08-01,74177
Intel Ivy Bridge,2021-09-01,78357
Intel Ivy Bridge,2021-10-01,82798
Intel Ivy Bridge,2021-11-01,78597
Intel Ivy Bridge,2021-12-01,77446
Intel Ivy Bridge,2022-01-01,84364
Intel Ivy Bridge,2022-02-01,80014
Intel Ivy Bridge,2022-03-01,77602
Intel Ivy Bridge,2022-04-01,78875
Intel Ivy Bridge,2022-05-01,75936
Intel Ivy Bridge,2022-06-01,82164
Intel Ivy Bridge,2022-07-01,64497
Intel Ivy Bridge,2022-08-01,77286
Intel Ivy Bridge,2022-09-01,66634
Intel Ivy Bridge,2022-10-01,67980
Intel Ivy Bridge,2022-11-01,70690
Intel Ivy Bridge,2022-12-01,78062
Intel Ivy Bridge,2023-01-01,83227
Intel Ivy Bridge,2023-02-01,69271
