card,date,real_users
Intel Sandy Bridge,2016-06-01,40925
Intel Sandy Bridge,2016-07-01,89153
Intel Sandy Bridge,2016-08-01,82833
Intel Sandy Bridge,2016-10-01,88472
Intel Sandy Bridge,2016-11-01,85177
Intel Sandy Bridge,2016-12-01,83438
Intel Sandy Bridge,2017-08-01,60674
Intel Sandy Bridge,2017-10-01,48447
Intel Sandy Bridge,2017-11-01,35892
Intel Sandy Bridge,2017-12-01,36128
Intel Sandy Bridge,2018-01-01,33796
Intel Sandy Bridge,2018-02-01,36191
Intel Sandy Bridge,2018-03-01,39744
Intel Sandy Bridge,2018-04-01,61921
Intel Sandy Bridge,2018-05-01,61728
Intel Sandy Bridge,2018-06-01,57125
Intel Sandy Bridge,2018-07-01,57254
Intel Sandy Bridge,2018-08-01,50607
Intel Sandy Bridge,2018-09-01,52506
Intel Sandy Bridge,2018-10-01,44225
Intel Sandy Bridge,2018-11-01,50737
Intel Sandy Bridge,2018-12-01,57301
Intel Sandy Bridge,2019-01-01,54631
Intel Sandy Bridge,2019-02-01,49358
Intel Sandy Bridge,2019-03-01,49957
Intel Sandy Bridge,2019-04-01,42975
Intel Sandy Bridge,2019-05-01,49365
Intel Sandy Bridge,2019-06-01,46721
Intel Sandy Bridge,2019-07-01,44612
Intel Sandy Bridge,2019-08-01,42441
Intel Sandy Bridge,2019-09-01,41849
Intel Sandy Bridge,2019-10-01,35698
Intel Sandy Bridge,2019-11-01,38050
Intel Sandy Bridge,2019-12-01,44604
Intel Sandy Bridge,2020-01-01,38782
Intel Sandy Bridge,2020-02-01,43750
Intel Sandy Bridge,2020-03-01,40401
Intel Sandy Bridge,2020-04-01,50027
Intel Sandy Bridge,2020-05-01,54085
Intel Sandy Bridge,2020-06-01,45432
Intel Sandy Bridge,2020-07-01,43427
Intel Sandy Bridge,2020-08-01,37988
Intel Sandy Bridge,2020-09-01,40897
Intel Sandy Bridge,2020-10-01,42725
Intel Sandy Bridge,2020-11-01,44105
Intel Sandy Bridge,2020-12-01,37764
Intel Sandy Bridge,2021-01-01,43564
Intel Sandy Bridge,2021-02-01,41781
Intel Sandy Bridge,2021-03-01,43334
Intel Sandy Bridge,2021-04-01,40306
Intel Sandy Bridge,2021-05-01,41884
Intel Sandy Bridge,2021-06-01,43474
Intel Sandy Bridge,2021-07-01,51279
Intel Sandy Bridge,2021-08-01,43070
Intel Sandy Bridge,2021-09-01,42740
Intel Sandy Bridge,2021-10-01,46269
Intel Sandy Bridge,2021-11-01,45637
Intel Sandy Bridge,2021-12-01,42470
Intel Sandy Bridge,2022-01-01,50091
Intel Sandy Bridge,2022-02-01,45341
Intel Sandy Bridge,2022-03-01,42814
Intel Sandy Bridge,2022-04-01,46237
Intel Sandy Bridge,2022-06-01,43650
Intel Sandy Bridge,2022-08-01,43795
Intel Sandy Bridge,2023-01-01,46237
