card,date,real_users
Intel UHD Graphics 620,2018-08-01,23897
Intel UHD Graphics 620,2018-09-01,35004
Intel UHD Graphics 620,2018-10-01,38519
Intel UHD Graphics 620,2018-11-01,44939
Intel UHD Graphics 620,2018-12-01,55664
Intel UHD Graphics 620,2019-01-01,61058
Intel UHD Graphics 620,2019-02-01,63239
Intel UHD Graphics 620,2019-03-01,69638
Intel UHD Graphics 620,2019-04-01,69650
Intel UHD Graphics 620,2019-05-01,84399
Intel UHD Graphics 620,2019-06-01,77332
Intel UHD Graphics 620,2019-07-01,86148
Intel UHD Graphics 620,2019-08-01,84882
Intel UHD Graphics 620,2019-09-01,117500
Intel UHD Graphics 620,2019-10-01,108523
Intel UHD Graphics 620,2019-11-01,123283
Intel UHD Graphics 620,2019-12-01,147536
Intel UHD Graphics 620,2020-01-01,131523
Intel UHD Graphics 620,2020-02-01,165887
Intel UHD Graphics 620,2020-03-01,202007
Intel UHD Graphics 620,2020-04-01,264430
Intel UHD Graphics 620,2020-05-01,275130
Intel UHD Graphics 620,2020-06-01,240145
Intel UHD Graphics 620,2020-07-01,223340
Intel UHD Graphics 620,2020-08-01,210837
Intel UHD Graphics 620,2020-09-01,233113
Intel UHD Graphics 620,2020-10-01,249946
Intel UHD Graphics 620,2020-11-01,243738
Intel UHD Graphics 620,2020-12-01,212428
Intel UHD Graphics 620,2021-01-01,244443
Intel UHD Graphics 620,2021-02-01,245775
Intel UHD Graphics 620,2021-03-01,239614
Intel UHD Graphics 620,2021-04-01,224207
Intel UHD Graphics 620,2021-05-01,224205
Intel UHD Graphics 620,2021-06-01,210125
Intel UHD Graphics 620,2021-07-01,219768
Intel UHD Graphics 620,2021-08-01,189032
Intel UHD Graphics 620,2021-09-01,199454
Intel UHD Graphics 620,2021-10-01,204560
Intel UHD Graphics 620,2021-11-01,210439
Intel UHD Graphics 620,2021-12-01,197363
Intel UHD Graphics 620,2022-01-01,208274
Intel UHD Graphics 620,2022-02-01,192034
Intel UHD Graphics 620,2022-03-01,187315
Intel UHD Graphics 620,2022-04-01,190390
Intel UHD Graphics 620,2022-05-01,174372
Intel UHD Graphics 620,2022-06-01,179735
Intel UHD Graphics 620,2022-07-01,123619
Intel UHD Graphics 620,2022-08-01,167455
Intel UHD Graphics 620,2022-09-01,151208
Intel UHD Graphics 620,2022-10-01,155789
Intel UHD Graphics 620,2022-11-01,169656
Intel UHD Graphics 620,2022-12-01,175640
Intel UHD Graphics 620,2023-01-01,188032
Intel UHD Graphics 620,2023-02-01,164519
