card,date,real_users
Intel ValleyView2 HD Graphics,2014-09-01,26782
Intel ValleyView2 HD Graphics,2014-10-01,28998
Intel ValleyView2 HD Graphics,2014-11-01,40990
Intel ValleyView2 HD Graphics,2014-12-01,65187
Intel ValleyView2 HD Graphics,2015-01-01,83820
Intel ValleyView2 HD Graphics,2015-05-01,103147
Intel ValleyView2 HD Graphics,2015-06-01,115221
Intel ValleyView2 HD Graphics,2015-09-01,143798
Intel ValleyView2 HD Graphics,2015-11-01,214240
Intel ValleyView2 HD Graphics,2016-01-01,201388
Intel ValleyView2 HD Graphics,2016-02-01,184560
Intel ValleyView2 HD Graphics,2016-03-01,185711
Intel ValleyView2 HD Graphics,2016-04-01,185460
Intel ValleyView2 HD Graphics,2016-05-01,200729
Intel ValleyView2 HD Graphics,2016-06-01,90698
