card,date,real_users
Intel Valleyview Baytrail,2016-06-01,92910
Intel Valleyview Baytrail,2016-07-01,182938
Intel Valleyview Baytrail,2016-08-01,181129
Intel Valleyview Baytrail,2016-10-01,186640
Intel Valleyview Baytrail,2016-11-01,177453
Intel Valleyview Baytrail,2016-12-01,174028
Intel Valleyview Baytrail,2017-08-01,97822
Intel Valleyview Baytrail,2017-10-01,77515
Intel Valleyview Baytrail,2017-11-01,58324
Intel Valleyview Baytrail,2017-12-01,59691
Intel Valleyview Baytrail,2018-01-01,55764
Intel Valleyview Baytrail,2018-02-01,53500
Intel Valleyview Baytrail,2018-03-01,60412
Intel Valleyview Baytrail,2018-04-01,86002
Intel Valleyview Baytrail,2018-05-01,86095
Intel Valleyview Baytrail,2018-06-01,81829
Intel Valleyview Baytrail,2018-07-01,80155
Intel Valleyview Baytrail,2018-08-01,71693
Intel Valleyview Baytrail,2018-09-01,71599
Intel Valleyview Baytrail,2018-10-01,59918
Intel Valleyview Baytrail,2018-11-01,65234
Intel Valleyview Baytrail,2018-12-01,76947
Intel Valleyview Baytrail,2019-01-01,72305
Intel Valleyview Baytrail,2019-02-01,63239
Intel Valleyview Baytrail,2019-03-01,60555
Intel Valleyview Baytrail,2019-04-01,51867
Intel Valleyview Baytrail,2019-05-01,58920
Intel Valleyview Baytrail,2019-06-01,54777
Intel Valleyview Baytrail,2019-07-01,55381
Intel Valleyview Baytrail,2019-08-01,51221
Intel Valleyview Baytrail,2019-09-01,53116
Intel Valleyview Baytrail,2019-10-01,45693
Intel Valleyview Baytrail,2019-11-01,44138
Intel Valleyview Baytrail,2019-12-01,49750
Intel Valleyview Baytrail,2020-01-01,45527
Intel Valleyview Baytrail,2020-02-01,49219
Intel Valleyview Baytrail,2020-03-01,51944
Intel Valleyview Baytrail,2020-04-01,69085
Intel Valleyview Baytrail,2020-05-01,68194
Intel Valleyview Baytrail,2020-06-01,56250
Intel Valleyview Baytrail,2020-07-01,51699
Intel Valleyview Baytrail,2020-08-01,43687
Intel Valleyview Baytrail,2020-09-01,47031
Intel Valleyview Baytrail,2020-10-01,49134
Intel Valleyview Baytrail,2020-11-01,48747
Intel Valleyview Baytrail,2020-12-01,37764
Intel Valleyview Baytrail,2021-01-01,45984
Intel Valleyview Baytrail,2021-02-01,44239
Intel Valleyview Baytrail,2021-03-01,45883
Intel Valleyview Baytrail,2021-04-01,37787
Intel Valleyview Baytrail,2021-05-01,39420
Intel Valleyview Baytrail,2021-06-01,43474
Intel Valleyview Baytrail,2021-07-01,43953
Intel Valleyview Baytrail,2021-08-01,35892
Intel Valleyview Baytrail,2021-09-01,35616
