card,date,real_users
Mobile Intel 4 Series Express,2009-04-01,10326
Mobile Intel 4 Series Express,2009-05-01,8881
Mobile Intel 4 Series Express,2009-07-01,9918
Mobile Intel 4 Series Express,2009-08-01,17077
Mobile Intel 4 Series Express,2009-09-01,21904
Mobile Intel 4 Series Express,2009-10-01,20350
Mobile Intel 4 Series Express,2009-11-01,23094
Mobile Intel 4 Series Express,2009-12-01,21952
Mobile Intel 4 Series Express,2010-01-01,39682
Mobile Intel 4 Series Express,2010-02-01,38553
Mobile Intel 4 Series Express,2010-03-01,39527
Mobile Intel 4 Series Express,2010-05-01,41088
Mobile Intel 4 Series Express,2010-06-01,36464
Mobile Intel 4 Series Express,2010-07-01,36697
Mobile Intel 4 Series Express,2010-08-01,45787
Mobile Intel 4 Series Express,2010-11-01,47708
Mobile Intel 4 Series Express,2011-01-01,56832
Mobile Intel 4 Series Express,2011-04-01,36926
Mobile Intel 4 Series Express,2011-06-01,39708
Mobile Intel 4 Series Express,2011-08-01,51339
Mobile Intel 4 Series Express,2011-10-01,65284
Mobile Intel 4 Series Express,2011-11-01,72264
Mobile Intel 4 Series Express,2011-12-01,74478
Mobile Intel 4 Series Express,2012-02-01,67119
Mobile Intel 4 Series Express,2012-03-01,79449
Mobile Intel 4 Series Express,2012-04-01,105715
Mobile Intel 4 Series Express,2012-05-01,104332
Mobile Intel 4 Series Express,2012-07-01,103122
Mobile Intel 4 Series Express,2012-08-01,85772
Mobile Intel 4 Series Express,2012-10-01,87159
Mobile Intel 4 Series Express,2012-12-01,97007
Mobile Intel 4 Series Express,2013-02-01,84956
Mobile Intel 4 Series Express,2013-03-01,72051
Mobile Intel 4 Series Express,2013-06-01,66888
Mobile Intel 4 Series Express,2013-07-01,69566
Mobile Intel 4 Series Express,2013-09-01,72195
Mobile Intel 4 Series Express,2013-12-01,83406
Mobile Intel 4 Series Express,2014-01-01,80794
Mobile Intel 4 Series Express,2014-04-01,59862
Mobile Intel 4 Series Express,2014-05-01,55887
Mobile Intel 4 Series Express,2014-06-01,66735
Mobile Intel 4 Series Express,2014-07-01,70851
Mobile Intel 4 Series Express,2014-08-01,59638
Mobile Intel 4 Series Express,2014-09-01,61317
Mobile Intel 4 Series Express,2014-10-01,54130
Mobile Intel 4 Series Express,2014-11-01,62244
Mobile Intel 4 Series Express,2014-12-01,65187
Mobile Intel 4 Series Express,2015-01-01,65193
Mobile Intel 4 Series Express,2015-05-01,53669
Mobile Intel 4 Series Express,2015-06-01,57610
Mobile Intel 4 Series Express,2015-09-01,54954
Mobile Intel 4 Series Express,2015-11-01,75455
Mobile Intel 4 Series Express,2016-01-01,63226
Mobile Intel 4 Series Express,2016-02-01,55927
Mobile Intel 4 Series Express,2016-03-01,53845
Mobile Intel 4 Series Express,2016-04-01,55411
Mobile Intel 4 Series Express,2016-05-01,56997
Mobile Intel 4 Series Express,2016-06-01,27652
