card,date,real_users
Mobile Intel 945GM Express,2008-11-01,11111
Mobile Intel 945GM Express,2009-01-01,10499
Mobile Intel 945GM Express,2009-02-01,9524
Mobile Intel 945GM Express,2009-03-01,11311
Mobile Intel 945GM Express,2009-04-01,11573
Mobile Intel 945GM Express,2009-05-01,9366
Mobile Intel 945GM Express,2009-07-01,9918
Mobile Intel 945GM Express,2009-08-01,9470
Mobile Intel 945GM Express,2009-09-01,10689
Mobile Intel 945GM Express,2009-10-01,8045
Mobile Intel 945GM Express,2010-05-01,17418
