card,date,real_users
NVIDIA GeForce 6100,2008-11-01,16480
NVIDIA GeForce 6100,2009-01-01,17999
NVIDIA GeForce 6100,2009-02-01,20920
NVIDIA GeForce 6100,2009-03-01,21163
NVIDIA GeForce 6100,2009-04-01,21009
NVIDIA GeForce 6100,2009-05-01,18732
NVIDIA GeForce 6100,2009-06-01,16632
NVIDIA GeForce 6100,2009-07-01,16475
NVIDIA GeForce 6100,2009-08-01,17854
NVIDIA GeForce 6100,2009-09-01,19451
NVIDIA GeForce 6100,2009-10-01,17353
NVIDIA GeForce 6100,2009-11-01,17100
NVIDIA GeForce 6100,2009-12-01,17731
NVIDIA GeForce 6100,2010-01-01,23568
NVIDIA GeForce 6100,2010-02-01,22837
NVIDIA GeForce 6100,2010-03-01,21560
NVIDIA GeForce 6100,2010-05-01,18534
NVIDIA GeForce 6100,2010-06-01,17995
NVIDIA GeForce 6100,2010-07-01,18465
NVIDIA GeForce 6100,2010-08-01,18962
NVIDIA GeForce 6100,2010-11-01,17038
NVIDIA GeForce 6100,2011-01-01,17760
NVIDIA GeForce 6100,2011-10-01,24291
NVIDIA GeForce 6100,2011-11-01,25808
NVIDIA GeForce 6100,2011-12-01,26236
NVIDIA GeForce 6100,2012-03-01,27653
NVIDIA GeForce 6100,2012-04-01,34407
NVIDIA GeForce 6100,2012-05-01,32634
NVIDIA GeForce 6100,2012-07-01,32196
NVIDIA GeForce 6100,2012-08-01,27018
NVIDIA GeForce 6100,2012-10-01,31205
NVIDIA GeForce 6100,2014-09-01,16915
NVIDIA GeForce 6100,2014-10-01,14177
NVIDIA GeForce 6100,2014-11-01,16699
NVIDIA GeForce 6100,2014-12-01,16694
NVIDIA GeForce 6100,2015-01-01,16086
NVIDIA GeForce 6100,2015-05-01,14256
NVIDIA GeForce 6100,2015-06-01,13966
