card,date,real_users
NVIDIA GeForce 8600M,2008-11-01,26467
NVIDIA GeForce 8600M,2009-01-01,31498
NVIDIA GeForce 8600M,2009-02-01,34356
NVIDIA GeForce 8600M,2009-03-01,39772
NVIDIA GeForce 8600M,2009-04-01,34007
NVIDIA GeForce 8600M,2009-05-01,32297
NVIDIA GeForce 8600M,2009-06-01,32180
NVIDIA GeForce 8600M,2009-07-01,28579
NVIDIA GeForce 8600M,2009-08-01,28721
NVIDIA GeForce 8600M,2009-09-01,29615
NVIDIA GeForce 8600M,2009-10-01,26345
NVIDIA GeForce 8600M,2009-11-01,27677
NVIDIA GeForce 8600M,2009-12-01,31451
NVIDIA GeForce 8600M,2010-01-01,35353
NVIDIA GeForce 8600M,2010-02-01,35361
NVIDIA GeForce 8600M,2010-03-01,32101
NVIDIA GeForce 8600M,2010-05-01,48234
NVIDIA GeForce 8600M,2010-06-01,41910
NVIDIA GeForce 8600M,2010-07-01,37866
NVIDIA GeForce 8600M,2010-08-01,33762
NVIDIA GeForce 8600M,2010-11-01,40041
NVIDIA GeForce 8600M,2011-01-01,47145
NVIDIA GeForce 8600M,2011-04-01,29540
NVIDIA GeForce 8600M,2011-06-01,32130
NVIDIA GeForce 8600M,2011-08-01,40087
NVIDIA GeForce 8600M,2011-10-01,55795
NVIDIA GeForce 8600M,2011-11-01,60650
NVIDIA GeForce 8600M,2011-12-01,62629
NVIDIA GeForce 8600M,2012-02-01,47248
