card,date,real_users
NVIDIA GeForce 9600 GT,2016-05-01,63192
NVIDIA GeForce 9600 GT,2016-06-01,55304
NVIDIA GeForce 9600 GT,2016-07-01,55576
NVIDIA GeForce 9600 GT,2016-08-01,51909
NVIDIA GeForce 9600 GT,2016-10-01,55749
NVIDIA GeForce 9600 GT,2016-11-01,50870
NVIDIA GeForce 9600 GT,2016-12-01,50062
NVIDIA GeForce 9600 GT,2017-08-01,35909
NVIDIA GeForce 9600 GT,2017-10-01,24223
NVIDIA GeForce 9600 GT,2018-04-01,32681
NVIDIA GeForce 9600 GT,2018-05-01,29239
NVIDIA GeForce 9600 GT,2018-06-01,27790
NVIDIA GeForce 9600 GT,2018-07-01,26173
NVIDIA GeForce 9600 GT,2018-08-01,23897
NVIDIA GeForce 9600 GT,2018-09-01,25457
NVIDIA GeForce 9600 GT,2018-11-01,24644
NVIDIA GeForce 9600 GT,2018-12-01,26194
NVIDIA GeForce 9600 GT,2019-01-01,27315
