card,date,real_users
NVIDIA GeForce GTS 450,2011-04-01,16838
NVIDIA GeForce GTS 450,2011-06-01,23036
NVIDIA GeForce GTS 450,2011-08-01,26373
NVIDIA GeForce GTS 450,2012-02-01,42391
NVIDIA GeForce GTS 450,2012-03-01,73742
NVIDIA GeForce GTS 450,2012-04-01,83276
NVIDIA GeForce GTS 450,2012-05-01,83070
NVIDIA GeForce GTS 450,2012-07-01,73259
NVIDIA GeForce GTS 450,2012-08-01,67759
NVIDIA GeForce GTS 450,2012-10-01,88773
NVIDIA GeForce GTS 450,2012-12-01,85299
NVIDIA GeForce GTS 450,2013-02-01,84956
NVIDIA GeForce GTS 450,2013-03-01,68259
NVIDIA GeForce GTS 450,2013-06-01,75058
NVIDIA GeForce GTS 450,2013-07-01,72658
NVIDIA GeForce GTS 450,2013-09-01,82776
NVIDIA GeForce GTS 450,2013-12-01,89158
NVIDIA GeForce GTS 450,2014-01-01,92227
NVIDIA GeForce GTS 450,2014-04-01,73094
NVIDIA GeForce GTS 450,2014-05-01,70958
NVIDIA GeForce GTS 450,2014-06-01,84999
NVIDIA GeForce GTS 450,2014-07-01,72998
NVIDIA GeForce GTS 450,2014-08-01,64713
NVIDIA GeForce GTS 450,2014-09-01,69070
NVIDIA GeForce GTS 450,2014-10-01,66374
NVIDIA GeForce GTS 450,2014-11-01,74389
NVIDIA GeForce GTS 450,2014-12-01,80291
NVIDIA GeForce GTS 450,2015-01-01,78740
NVIDIA GeForce GTS 450,2015-05-01,72957
NVIDIA GeForce GTS 450,2015-06-01,75941
NVIDIA GeForce GTS 450,2015-09-01,72357
NVIDIA GeForce GTS 450,2015-11-01,105099
NVIDIA GeForce GTS 450,2016-01-01,91327
NVIDIA GeForce GTS 450,2016-02-01,85009
NVIDIA GeForce GTS 450,2016-03-01,79119
NVIDIA GeForce GTS 450,2016-04-01,79159
NVIDIA GeForce GTS 450,2016-05-01,84256
NVIDIA GeForce GTS 450,2016-06-01,73001
NVIDIA GeForce GTS 450,2016-07-01,76417
NVIDIA GeForce GTS 450,2016-08-01,69580
NVIDIA GeForce GTS 450,2016-10-01,75140
NVIDIA GeForce GTS 450,2016-11-01,69798
NVIDIA GeForce GTS 450,2016-12-01,69134
NVIDIA GeForce GTS 450,2017-08-01,54483
NVIDIA GeForce GTS 450,2017-10-01,41987
NVIDIA GeForce GTS 450,2017-11-01,28414
NVIDIA GeForce GTS 450,2017-12-01,29845
NVIDIA GeForce GTS 450,2018-01-01,28727
NVIDIA GeForce GTS 450,2018-02-01,31471
NVIDIA GeForce GTS 450,2018-03-01,36565
NVIDIA GeForce GTS 450,2018-04-01,53321
NVIDIA GeForce GTS 450,2018-05-01,48733
NVIDIA GeForce GTS 450,2018-06-01,44774
NVIDIA GeForce GTS 450,2018-07-01,47439
NVIDIA GeForce GTS 450,2018-08-01,40767
NVIDIA GeForce GTS 450,2018-09-01,41368
NVIDIA GeForce GTS 450,2018-10-01,37092
NVIDIA GeForce GTS 450,2018-11-01,42039
NVIDIA GeForce GTS 450,2018-12-01,45840
NVIDIA GeForce GTS 450,2019-01-01,46597
NVIDIA GeForce GTS 450,2019-02-01,43188
NVIDIA GeForce GTS 450,2019-03-01,42388
NVIDIA GeForce GTS 450,2019-04-01,38530
NVIDIA GeForce GTS 450,2019-05-01,39811
NVIDIA GeForce GTS 450,2019-06-01,38666
NVIDIA GeForce GTS 450,2019-07-01,36920
NVIDIA GeForce GTS 450,2019-08-01,36587
NVIDIA GeForce GTS 450,2019-09-01,35411
NVIDIA GeForce GTS 450,2019-10-01,32842
NVIDIA GeForce GTS 450,2019-11-01,33484
NVIDIA GeForce GTS 450,2019-12-01,34310
NVIDIA GeForce GTS 450,2020-01-01,38782
NVIDIA GeForce GTS 450,2020-02-01,38281
NVIDIA GeForce GTS 450,2020-03-01,28858
NVIDIA GeForce GTS 450,2020-04-01,40498
NVIDIA GeForce GTS 450,2020-05-01,39976
NVIDIA GeForce GTS 450,2020-06-01,34615
NVIDIA GeForce GTS 450,2020-07-01,31019
NVIDIA GeForce GTS 450,2020-08-01,28491
