card,date,real_users
NVIDIA GeForce GTX 1650 SUPER,2020-05-01,42327
NVIDIA GeForce GTX 1650 SUPER,2020-06-01,54086
NVIDIA GeForce GTX 1650 SUPER,2020-07-01,68242
NVIDIA GeForce GTX 1650 SUPER,2020-08-01,79776
NVIDIA GeForce GTX 1650 SUPER,2020-09-01,104287
NVIDIA GeForce GTX 1650 SUPER,2020-10-01,128177
NVIDIA GeForce GTX 1650 SUPER,2020-11-01,157849
NVIDIA GeForce GTX 1650 SUPER,2020-12-01,162861
NVIDIA GeForce GTX 1650 SUPER,2021-01-01,212980
NVIDIA GeForce GTX 1650 SUPER,2021-02-01,221198
NVIDIA GeForce GTX 1650 SUPER,2021-03-01,242163
NVIDIA GeForce GTX 1650 SUPER,2021-04-01,246880
NVIDIA GeForce GTX 1650 SUPER,2021-05-01,251306
NVIDIA GeForce GTX 1650 SUPER,2021-06-01,229447
NVIDIA GeForce GTX 1650 SUPER,2021-07-01,241745
NVIDIA GeForce GTX 1650 SUPER,2021-08-01,212960
NVIDIA GeForce GTX 1650 SUPER,2021-09-01,235071
NVIDIA GeForce GTX 1650 SUPER,2021-10-01,243524
NVIDIA GeForce GTX 1650 SUPER,2021-11-01,245935
NVIDIA GeForce GTX 1650 SUPER,2021-12-01,237335
NVIDIA GeForce GTX 1650 SUPER,2022-01-01,250456
NVIDIA GeForce GTX 1650 SUPER,2022-02-01,245377
NVIDIA GeForce GTX 1650 SUPER,2022-03-01,243510
NVIDIA GeForce GTX 1650 SUPER,2022-04-01,255666
NVIDIA GeForce GTX 1650 SUPER,2022-05-01,275621
NVIDIA GeForce GTX 1650 SUPER,2022-06-01,233656
NVIDIA GeForce GTX 1650 SUPER,2022-07-01,257988
NVIDIA GeForce GTX 1650 SUPER,2022-08-01,226708
NVIDIA GeForce GTX 1650 SUPER,2022-09-01,233219
NVIDIA GeForce GTX 1650 SUPER,2022-10-01,218105
NVIDIA GeForce GTX 1650 SUPER,2022-11-01,226209
NVIDIA GeForce GTX 1650 SUPER,2022-12-01,217459
NVIDIA GeForce GTX 1650 SUPER,2023-01-01,243517
NVIDIA GeForce GTX 1650 SUPER,2023-02-01,213587
