card,date,real_users
NVIDIA GeForce GTX 550 Ti,2012-07-01,96590
NVIDIA GeForce GTX 550 Ti,2012-08-01,95635
NVIDIA GeForce GTX 550 Ti,2012-10-01,131277
NVIDIA GeForce GTX 550 Ti,2012-12-01,133802
NVIDIA GeForce GTX 550 Ti,2013-02-01,137062
NVIDIA GeForce GTX 550 Ti,2013-03-01,109973
NVIDIA GeForce GTX 550 Ti,2013-06-01,123055
NVIDIA GeForce GTX 550 Ti,2013-07-01,118520
NVIDIA GeForce GTX 550 Ti,2013-09-01,137545
NVIDIA GeForce GTX 550 Ti,2013-12-01,143804
NVIDIA GeForce GTX 550 Ti,2014-01-01,149393
NVIDIA GeForce GTX 550 Ti,2014-04-01,114053
NVIDIA GeForce GTX 550 Ti,2014-05-01,112402
NVIDIA GeForce GTX 550 Ti,2014-06-01,120123
NVIDIA GeForce GTX 550 Ti,2014-07-01,115938
NVIDIA GeForce GTX 550 Ti,2014-08-01,98974
NVIDIA GeForce GTX 550 Ti,2014-09-01,107835
NVIDIA GeForce GTX 550 Ti,2014-10-01,97950
NVIDIA GeForce GTX 550 Ti,2014-11-01,113102
NVIDIA GeForce GTX 550 Ti,2014-12-01,112885
NVIDIA GeForce GTX 550 Ti,2015-01-01,117687
NVIDIA GeForce GTX 550 Ti,2015-05-01,104824
NVIDIA GeForce GTX 550 Ti,2015-06-01,102128
NVIDIA GeForce GTX 550 Ti,2015-09-01,98918
NVIDIA GeForce GTX 550 Ti,2015-11-01,140132
NVIDIA GeForce GTX 550 Ti,2016-01-01,113573
NVIDIA GeForce GTX 550 Ti,2016-02-01,107380
NVIDIA GeForce GTX 550 Ti,2016-03-01,103295
NVIDIA GeForce GTX 550 Ti,2016-04-01,110823
NVIDIA GeForce GTX 550 Ti,2016-05-01,111516
NVIDIA GeForce GTX 550 Ti,2016-06-01,97335
NVIDIA GeForce GTX 550 Ti,2016-07-01,98416
NVIDIA GeForce GTX 550 Ti,2016-08-01,91669
NVIDIA GeForce GTX 550 Ti,2016-10-01,96956
NVIDIA GeForce GTX 550 Ti,2016-11-01,92275
NVIDIA GeForce GTX 550 Ti,2016-12-01,91782
NVIDIA GeForce GTX 550 Ti,2017-08-01,74295
NVIDIA GeForce GTX 550 Ti,2017-10-01,53291
NVIDIA GeForce GTX 550 Ti,2017-11-01,38883
NVIDIA GeForce GTX 550 Ti,2017-12-01,40841
NVIDIA GeForce GTX 550 Ti,2018-01-01,38866
NVIDIA GeForce GTX 550 Ti,2018-02-01,40912
NVIDIA GeForce GTX 550 Ti,2018-03-01,47693
NVIDIA GeForce GTX 550 Ti,2018-04-01,68802
NVIDIA GeForce GTX 550 Ti,2018-05-01,66601
NVIDIA GeForce GTX 550 Ti,2018-06-01,60213
NVIDIA GeForce GTX 550 Ti,2018-07-01,58889
NVIDIA GeForce GTX 550 Ti,2018-08-01,54824
NVIDIA GeForce GTX 550 Ti,2018-09-01,55688
NVIDIA GeForce GTX 550 Ti,2018-10-01,48505
NVIDIA GeForce GTX 550 Ti,2018-11-01,55086
NVIDIA GeForce GTX 550 Ti,2018-12-01,58938
NVIDIA GeForce GTX 550 Ti,2019-01-01,59451
NVIDIA GeForce GTX 550 Ti,2019-02-01,57070
NVIDIA GeForce GTX 550 Ti,2019-03-01,52985
NVIDIA GeForce GTX 550 Ti,2019-04-01,50385
NVIDIA GeForce GTX 550 Ti,2019-05-01,50958
NVIDIA GeForce GTX 550 Ti,2019-06-01,46721
NVIDIA GeForce GTX 550 Ti,2019-07-01,44612
NVIDIA GeForce GTX 550 Ti,2019-08-01,48294
NVIDIA GeForce GTX 550 Ti,2019-09-01,48287
NVIDIA GeForce GTX 550 Ti,2019-10-01,41410
NVIDIA GeForce GTX 550 Ti,2019-11-01,42616
NVIDIA GeForce GTX 550 Ti,2019-12-01,44604
NVIDIA GeForce GTX 550 Ti,2020-01-01,47213
NVIDIA GeForce GTX 550 Ti,2020-02-01,49219
NVIDIA GeForce GTX 550 Ti,2020-03-01,42325
NVIDIA GeForce GTX 550 Ti,2020-04-01,52409
NVIDIA GeForce GTX 550 Ti,2020-05-01,51733
NVIDIA GeForce GTX 550 Ti,2020-06-01,43269
NVIDIA GeForce GTX 550 Ti,2020-07-01,41359
NVIDIA GeForce GTX 550 Ti,2020-08-01,36089
NVIDIA GeForce GTX 550 Ti,2020-09-01,36807
NVIDIA GeForce GTX 550 Ti,2020-10-01,38453
NVIDIA GeForce GTX 550 Ti,2020-11-01,41783
NVIDIA GeForce GTX 550 Ti,2021-01-01,38723
NVIDIA GeForce GTX 550 Ti,2021-03-01,38236
