card,date,real_users
NVIDIA GeForce GTX 745,2015-05-01,15094
NVIDIA GeForce GTX 745,2015-06-01,16584
NVIDIA GeForce GTX 745,2015-09-01,21066
NVIDIA GeForce GTX 745,2015-11-01,32338
NVIDIA GeForce GTX 745,2016-01-01,30442
NVIDIA GeForce GTX 745,2016-02-01,29082
NVIDIA GeForce GTX 745,2016-03-01,30768
NVIDIA GeForce GTX 745,2016-04-01,31663
NVIDIA GeForce GTX 745,2016-05-01,33454
NVIDIA GeForce GTX 745,2016-06-01,32076
NVIDIA GeForce GTX 745,2016-07-01,32419
NVIDIA GeForce GTX 745,2016-08-01,30924
NVIDIA GeForce GTX 745,2016-10-01,33934
NVIDIA GeForce GTX 745,2016-11-01,31941
NVIDIA GeForce GTX 745,2016-12-01,32183
NVIDIA GeForce GTX 745,2017-08-01,26003
NVIDIA GeForce GTX 745,2018-04-01,27520
NVIDIA GeForce GTX 745,2018-05-01,29239
NVIDIA GeForce GTX 745,2018-06-01,24703
NVIDIA GeForce GTX 745,2018-07-01,26173
NVIDIA GeForce GTX 745,2018-08-01,22492
NVIDIA GeForce GTX 745,2018-09-01,25457
NVIDIA GeForce GTX 745,2018-11-01,21744
NVIDIA GeForce GTX 745,2018-12-01,24557
