card,date,real_users
NVIDIA GeForce GTX 965M,2016-07-01,19683
NVIDIA GeForce GTX 965M,2016-08-01,23193
NVIDIA GeForce GTX 965M,2016-10-01,26662
NVIDIA GeForce GTX 965M,2016-11-01,28392
NVIDIA GeForce GTX 965M,2016-12-01,29799
NVIDIA GeForce GTX 965M,2017-08-01,35909
NVIDIA GeForce GTX 965M,2017-10-01,25838
NVIDIA GeForce GTX 965M,2018-03-01,28616
NVIDIA GeForce GTX 965M,2018-04-01,44721
NVIDIA GeForce GTX 965M,2018-05-01,40610
NVIDIA GeForce GTX 965M,2018-06-01,40142
NVIDIA GeForce GTX 965M,2018-07-01,37624
NVIDIA GeForce GTX 965M,2018-08-01,36549
NVIDIA GeForce GTX 965M,2018-09-01,39777
NVIDIA GeForce GTX 965M,2018-10-01,29959
NVIDIA GeForce GTX 965M,2018-11-01,34791
NVIDIA GeForce GTX 965M,2018-12-01,32743
NVIDIA GeForce GTX 965M,2019-01-01,32135
NVIDIA GeForce GTX 965M,2019-02-01,32391
NVIDIA GeForce GTX 965M,2019-03-01,30277
NVIDIA GeForce GTX 965M,2019-04-01,29638
NVIDIA GeForce GTX 965M,2019-05-01,30256
NVIDIA GeForce GTX 965M,2019-06-01,28999
NVIDIA GeForce GTX 965M,2019-07-01,26152
NVIDIA GeForce GTX 965M,2019-08-01,26342
NVIDIA GeForce GTX 965M,2019-09-01,27363
NVIDIA GeForce GTX 965M,2019-10-01,21419
NVIDIA GeForce GTX 965M,2019-11-01,24352
NVIDIA GeForce GTX 965M,2020-02-01,29167
NVIDIA GeForce GTX 965M,2020-03-01,28858
NVIDIA GeForce GTX 965M,2020-04-01,35733
