card,date,real_users
NVIDIA GeForce GT 520,2012-03-01,22825
NVIDIA GeForce GT 520,2012-04-01,26428
NVIDIA GeForce GT 520,2012-05-01,28184
NVIDIA GeForce GT 520,2012-07-01,29397
NVIDIA GeForce GT 520,2012-08-01,28733
NVIDIA GeForce GT 520,2012-10-01,36047
NVIDIA GeForce GT 520,2012-12-01,34565
NVIDIA GeForce GT 520,2013-02-01,33982
NVIDIA GeForce GT 520,2013-03-01,28441
NVIDIA GeForce GT 520,2013-06-01,29104
NVIDIA GeForce GT 520,2013-07-01,28341
NVIDIA GeForce GT 520,2013-09-01,31741
NVIDIA GeForce GT 520,2014-09-01,27487
NVIDIA GeForce GT 520,2014-10-01,25131
NVIDIA GeForce GT 520,2014-11-01,28085
NVIDIA GeForce GT 520,2014-12-01,29413
NVIDIA GeForce GT 520,2015-01-01,30480
NVIDIA GeForce GT 520,2015-05-01,26834
NVIDIA GeForce GT 520,2015-06-01,28805
NVIDIA GeForce GT 520,2015-09-01,27477
NVIDIA GeForce GT 520,2015-11-01,37727
NVIDIA GeForce GT 520,2016-01-01,31613
NVIDIA GeForce GT 520,2016-02-01,29082
NVIDIA GeForce GT 520,2016-03-01,29669
NVIDIA GeForce GT 520,2016-04-01,29402
NVIDIA GeForce GT 520,2016-05-01,29737
NVIDIA GeForce GT 520,2016-06-01,26545
NVIDIA GeForce GT 520,2016-07-01,27788
NVIDIA GeForce GT 520,2016-08-01,25402
NVIDIA GeForce GT 520,2016-10-01,26662
NVIDIA GeForce GT 520,2016-11-01,24843
NVIDIA GeForce GT 520,2016-12-01,23839
