card,date,real_users
NVIDIA GeForce GT 620M,2013-09-01,31741
NVIDIA GeForce GT 620M,2013-12-01,51769
NVIDIA GeForce GT 620M,2014-01-01,60214
NVIDIA GeForce GT 620M,2014-04-01,58602
NVIDIA GeForce GT 620M,2014-05-01,60911
NVIDIA GeForce GT 620M,2014-06-01,71652
NVIDIA GeForce GT 620M,2014-07-01,79439
NVIDIA GeForce GT 620M,2014-08-01,75499
NVIDIA GeForce GT 620M,2014-09-01,91624
NVIDIA GeForce GT 620M,2014-10-01,87639
NVIDIA GeForce GT 620M,2014-11-01,102475
NVIDIA GeForce GT 620M,2014-12-01,114475
NVIDIA GeForce GT 620M,2015-01-01,130387
NVIDIA GeForce GT 620M,2015-05-01,129143
NVIDIA GeForce GT 620M,2015-06-01,138789
NVIDIA GeForce GT 620M,2015-09-01,169443
NVIDIA GeForce GT 620M,2015-11-01,257358
NVIDIA GeForce GT 620M,2016-01-01,227147
NVIDIA GeForce GT 620M,2016-02-01,218117
NVIDIA GeForce GT 620M,2016-03-01,215381
NVIDIA GeForce GT 620M,2016-04-01,220516
NVIDIA GeForce GT 620M,2016-05-01,237901
NVIDIA GeForce GT 620M,2016-06-01,126093
