card,date,real_users
NVIDIA GeForce MX250,2020-01-01,30351
NVIDIA GeForce MX250,2020-02-01,51042
NVIDIA GeForce MX250,2020-03-01,63488
NVIDIA GeForce MX250,2020-04-01,78614
NVIDIA GeForce MX250,2020-05-01,77600
NVIDIA GeForce MX250,2020-06-01,73558
NVIDIA GeForce MX250,2020-07-01,70310
NVIDIA GeForce MX250,2020-08-01,74078
NVIDIA GeForce MX250,2020-09-01,79749
NVIDIA GeForce MX250,2020-10-01,83315
NVIDIA GeForce MX250,2020-11-01,92852
NVIDIA GeForce MX250,2020-12-01,87331
NVIDIA GeForce MX250,2021-01-01,96809
NVIDIA GeForce MX250,2021-02-01,108141
NVIDIA GeForce MX250,2021-03-01,107061
NVIDIA GeForce MX250,2021-04-01,105805
NVIDIA GeForce MX250,2021-05-01,101015
NVIDIA GeForce MX250,2021-06-01,106270
NVIDIA GeForce MX250,2021-07-01,102558
NVIDIA GeForce MX250,2021-08-01,93319
NVIDIA GeForce MX250,2021-09-01,97352
NVIDIA GeForce MX250,2021-10-01,90103
NVIDIA GeForce MX250,2021-11-01,98881
NVIDIA GeForce MX250,2021-12-01,92435
NVIDIA GeForce MX250,2022-01-01,105455
NVIDIA GeForce MX250,2022-02-01,104018
NVIDIA GeForce MX250,2022-03-01,96333
NVIDIA GeForce MX250,2022-04-01,103354
NVIDIA GeForce MX250,2022-05-01,92811
NVIDIA GeForce MX250,2022-06-01,87300
NVIDIA GeForce MX250,2022-07-01,75246
NVIDIA GeForce MX250,2022-08-01,74710
NVIDIA GeForce MX250,2022-09-01,71759
NVIDIA GeForce MX250,2022-10-01,67980
NVIDIA GeForce MX250,2022-11-01,82000
NVIDIA GeForce MX250,2022-12-01,83638
NVIDIA GeForce MX250,2023-01-01,92474
NVIDIA GeForce MX250,2023-02-01,80816
