card,date,real_users
NVIDIA GeForce RTX 2060,2019-03-01,39360
NVIDIA GeForce RTX 2060,2019-04-01,75578
NVIDIA GeForce RTX 2060,2019-05-01,103509
NVIDIA GeForce RTX 2060,2019-06-01,132110
NVIDIA GeForce RTX 2060,2019-07-01,152298
NVIDIA GeForce RTX 2060,2019-08-01,180008
NVIDIA GeForce RTX 2060,2019-09-01,238219
NVIDIA GeForce RTX 2060,2019-10-01,219901
NVIDIA GeForce RTX 2060,2019-11-01,296792
NVIDIA GeForce RTX 2060,2019-12-01,389427
NVIDIA GeForce RTX 2060,2020-01-01,357472
NVIDIA GeForce RTX 2060,2020-02-01,382817
NVIDIA GeForce RTX 2060,2020-03-01,498284
NVIDIA GeForce RTX 2060,2020-04-01,526478
NVIDIA GeForce RTX 2060,2020-05-01,533799
NVIDIA GeForce RTX 2060,2020-06-01,525724
NVIDIA GeForce RTX 2060,2020-07-01,510787
NVIDIA GeForce RTX 2060,2020-08-01,526144
NVIDIA GeForce RTX 2060,2020-09-01,590962
NVIDIA GeForce RTX 2060,2020-10-01,645160
NVIDIA GeForce RTX 2060,2020-11-01,784606
NVIDIA GeForce RTX 2060,2020-12-01,1165994
NVIDIA GeForce RTX 2060,2021-01-01,866441
NVIDIA GeForce RTX 2060,2021-02-01,931489
NVIDIA GeForce RTX 2060,2021-03-01,1241405
NVIDIA GeForce RTX 2060,2021-04-01,1241957
NVIDIA GeForce RTX 2060,2021-05-01,1190012
NVIDIA GeForce RTX 2060,2021-06-01,1403250
NVIDIA GeForce RTX 2060,2021-07-01,1306403
NVIDIA GeForce RTX 2060,2021-08-01,1591222
NVIDIA GeForce RTX 2060,2021-09-01,1282208
NVIDIA GeForce RTX 2060,2021-10-01,1217620
NVIDIA GeForce RTX 2060,2021-11-01,1285456
NVIDIA GeForce RTX 2060,2021-12-01,1361556
NVIDIA GeForce RTX 2060,2022-01-01,1318190
NVIDIA GeForce RTX 2060,2022-02-01,1389581
NVIDIA GeForce RTX 2060,2022-03-01,1461060
NVIDIA GeForce RTX 2060,2022-04-01,1340890
NVIDIA GeForce RTX 2060,2022-05-01,1389357
NVIDIA GeForce RTX 2060,2022-06-01,1250445
NVIDIA GeForce RTX 2060,2022-07-01,1338313
NVIDIA GeForce RTX 2060,2022-08-01,1249471
NVIDIA GeForce RTX 2060,2022-09-01,1286554
NVIDIA GeForce RTX 2060,2022-10-01,1671198
NVIDIA GeForce RTX 2060,2022-11-01,1266771
NVIDIA GeForce RTX 2060,2022-12-01,1254576
NVIDIA GeForce RTX 2060,2023-01-01,1300813
NVIDIA GeForce RTX 2060,2023-02-01,1293069
