card,date,real_users
NVIDIA GeForce RTX 2060 SUPER,2019-10-01,21419
NVIDIA GeForce RTX 2060 SUPER,2019-11-01,38050
NVIDIA GeForce RTX 2060 SUPER,2019-12-01,61759
NVIDIA GeForce RTX 2060 SUPER,2020-01-01,80937
NVIDIA GeForce RTX 2060 SUPER,2020-02-01,102084
NVIDIA GeForce RTX 2060 SUPER,2020-03-01,138519
NVIDIA GeForce RTX 2060 SUPER,2020-04-01,169140
NVIDIA GeForce RTX 2060 SUPER,2020-05-01,181068
NVIDIA GeForce RTX 2060 SUPER,2020-06-01,201203
NVIDIA GeForce RTX 2060 SUPER,2020-07-01,217136
NVIDIA GeForce RTX 2060 SUPER,2020-08-01,227932
NVIDIA GeForce RTX 2060 SUPER,2020-09-01,265830
NVIDIA GeForce RTX 2060 SUPER,2020-10-01,281990
NVIDIA GeForce RTX 2060 SUPER,2020-11-01,322663
NVIDIA GeForce RTX 2060 SUPER,2020-12-01,462621
NVIDIA GeForce RTX 2060 SUPER,2021-01-01,346092
NVIDIA GeForce RTX 2060 SUPER,2021-02-01,356374
NVIDIA GeForce RTX 2060 SUPER,2021-03-01,361970
NVIDIA GeForce RTX 2060 SUPER,2021-04-01,357724
NVIDIA GeForce RTX 2060 SUPER,2021-05-01,342467
NVIDIA GeForce RTX 2060 SUPER,2021-06-01,335717
NVIDIA GeForce RTX 2060 SUPER,2021-07-01,322327
NVIDIA GeForce RTX 2060 SUPER,2021-08-01,327815
NVIDIA GeForce RTX 2060 SUPER,2021-09-01,306305
NVIDIA GeForce RTX 2060 SUPER,2021-10-01,301969
NVIDIA GeForce RTX 2060 SUPER,2021-11-01,306785
NVIDIA GeForce RTX 2060 SUPER,2021-12-01,302290
NVIDIA GeForce RTX 2060 SUPER,2022-01-01,300547
NVIDIA GeForce RTX 2060 SUPER,2022-02-01,304054
NVIDIA GeForce RTX 2060 SUPER,2022-03-01,323788
NVIDIA GeForce RTX 2060 SUPER,2022-04-01,301904
NVIDIA GeForce RTX 2060 SUPER,2022-05-01,326245
NVIDIA GeForce RTX 2060 SUPER,2022-06-01,274738
NVIDIA GeForce RTX 2060 SUPER,2022-07-01,311735
NVIDIA GeForce RTX 2060 SUPER,2022-08-01,275656
NVIDIA GeForce RTX 2060 SUPER,2022-09-01,279351
NVIDIA GeForce RTX 2060 SUPER,2022-10-01,337072
NVIDIA GeForce RTX 2060 SUPER,2022-11-01,305382
NVIDIA GeForce RTX 2060 SUPER,2022-12-01,312250
NVIDIA GeForce RTX 2060 SUPER,2023-01-01,342157
NVIDIA GeForce RTX 2060 SUPER,2023-02-01,334812
