card,date,real_users
NVIDIA GeForce RTX 2070 with Max-Q Design,2020-11-01,34819
NVIDIA GeForce RTX 2070 with Max-Q Design,2020-12-01,40125
NVIDIA GeForce RTX 2070 with Max-Q Design,2021-01-01,55665
NVIDIA GeForce RTX 2070 with Max-Q Design,2021-02-01,61443
NVIDIA GeForce RTX 2070 with Max-Q Design,2021-03-01,68825
NVIDIA GeForce RTX 2070 with Max-Q Design,2021-04-01,78094
NVIDIA GeForce RTX 2070 with Max-Q Design,2021-05-01,73913
NVIDIA GeForce RTX 2070 with Max-Q Design,2021-06-01,70041
NVIDIA GeForce RTX 2070 with Max-Q Design,2021-07-01,68372
NVIDIA GeForce RTX 2070 with Max-Q Design,2021-08-01,62213
NVIDIA GeForce RTX 2070 with Max-Q Design,2021-09-01,66484
NVIDIA GeForce RTX 2070 with Max-Q Design,2021-10-01,65751
NVIDIA GeForce RTX 2070 with Max-Q Design,2021-11-01,73527
NVIDIA GeForce RTX 2070 with Max-Q Design,2021-12-01,67453
NVIDIA GeForce RTX 2070 with Max-Q Design,2022-01-01,71182
NVIDIA GeForce RTX 2070 with Max-Q Design,2022-02-01,66678
NVIDIA GeForce RTX 2070 with Max-Q Design,2022-03-01,69574
NVIDIA GeForce RTX 2070 with Max-Q Design,2022-04-01,70716
NVIDIA GeForce RTX 2070 with Max-Q Design,2022-05-01,73124
NVIDIA GeForce RTX 2070 with Max-Q Design,2022-06-01,61623
NVIDIA GeForce RTX 2070 with Max-Q Design,2022-07-01,67184
NVIDIA GeForce RTX 2070 with Max-Q Design,2022-08-01,59253
NVIDIA GeForce RTX 2070 with Max-Q Design,2022-09-01,56382
NVIDIA GeForce RTX 2070 with Max-Q Design,2022-10-01,56650
NVIDIA GeForce RTX 2070 with Max-Q Design,2022-11-01,62207
NVIDIA GeForce RTX 2070 with Max-Q Design,2022-12-01,58546
NVIDIA GeForce RTX 2070 with Max-Q Design,2023-01-01,64732
NVIDIA GeForce RTX 2070 with Max-Q Design,2023-02-01,57726
