card,date,real_users
NVIDIA GeForce RTX 3050 Ti Laptop GPU,2021-09-01,45114
NVIDIA GeForce RTX 3050 Ti Laptop GPU,2021-10-01,60881
NVIDIA GeForce RTX 3050 Ti Laptop GPU,2021-11-01,83668
NVIDIA GeForce RTX 3050 Ti Laptop GPU,2021-12-01,89937
NVIDIA GeForce RTX 3050 Ti Laptop GPU,2022-01-01,113364
NVIDIA GeForce RTX 3050 Ti Laptop GPU,2022-02-01,133357
NVIDIA GeForce RTX 3050 Ti Laptop GPU,2022-03-01,139148
NVIDIA GeForce RTX 3050 Ti Laptop GPU,2022-04-01,168631
NVIDIA GeForce RTX 3050 Ti Laptop GPU,2022-05-01,182810
NVIDIA GeForce RTX 3050 Ti Laptop GPU,2022-06-01,182303
NVIDIA GeForce RTX 3050 Ti Laptop GPU,2022-07-01,190803
NVIDIA GeForce RTX 3050 Ti Laptop GPU,2022-08-01,218979
NVIDIA GeForce RTX 3050 Ti Laptop GPU,2022-09-01,240908
NVIDIA GeForce RTX 3050 Ti Laptop GPU,2022-10-01,249263
NVIDIA GeForce RTX 3050 Ti Laptop GPU,2022-11-01,313865
NVIDIA GeForce RTX 3050 Ti Laptop GPU,2022-12-01,301098
NVIDIA GeForce RTX 3050 Ti Laptop GPU,2023-01-01,354487
NVIDIA GeForce RTX 3050 Ti Laptop GPU,2023-02-01,355016
