card,date,real_users
NVIDIA GeForce RTX 3070 Ti,2021-08-01,55034
NVIDIA GeForce RTX 3070 Ti,2021-09-01,64110
NVIDIA GeForce RTX 3070 Ti,2021-10-01,73057
NVIDIA GeForce RTX 3070 Ti,2021-11-01,88739
NVIDIA GeForce RTX 3070 Ti,2021-12-01,99930
NVIDIA GeForce RTX 3070 Ti,2022-01-01,108091
NVIDIA GeForce RTX 3070 Ti,2022-02-01,130690
NVIDIA GeForce RTX 3070 Ti,2022-03-01,165907
NVIDIA GeForce RTX 3070 Ti,2022-04-01,198549
NVIDIA GeForce RTX 3070 Ti,2022-05-01,244684
NVIDIA GeForce RTX 3070 Ti,2022-06-01,225953
NVIDIA GeForce RTX 3070 Ti,2022-07-01,279487
NVIDIA GeForce RTX 3070 Ti,2022-08-01,270504
NVIDIA GeForce RTX 3070 Ti,2022-09-01,274225
NVIDIA GeForce RTX 3070 Ti,2022-10-01,351235
NVIDIA GeForce RTX 3070 Ti,2022-11-01,316692
NVIDIA GeForce RTX 3070 Ti,2022-12-01,331765
NVIDIA GeForce RTX 3070 Ti,2023-01-01,369899
NVIDIA GeForce RTX 3070 Ti,2023-02-01,375220
