id,card_name,foundry,process_size,transistors,die_size,architecture,slot_width,tdp,base_clock,mem_clock,directX_ver,opengl_ver,opencl_ver,vulkan_ver,cuda_ver,shader_model_ver,mem_size,mem_type,mem_bus,bandwidth,pixel_rate,texture_rate,FP16_rate,FP32_rate,FP64_rate,shading_units,production_status,release_date
0,Intel GMA 950,Intel,90 nm,unknown,unknown,Generation 3.5,IGP,7 W,250 MHz,System Shared,9.0,2.0,N/A,N/A,,2.0,System Shared,System Shared,System Shared,System Dependent,400.0 MPixel/s,1.600 GTexel/s,,,,,End-of-life,"Jun 1st, 2005"
1,NVIDIA GeForce 7950 GX2,TSMC,90 nm,278 million,196 mm²,Curie,Dual-slot,110 W,,"600 MHz
										
					1200 Mbps effective",9.0c (9_3),2.1,N/A,N/A,,3.0,512 MB,GDDR3,256 bit,38.40 GB/s,8.000 GPixel/s,12.00 GTexel/s,,,,,End-of-life,"Jun 5th, 2006"
2,AMD Radeon RX 580 Mobile,GlobalFoundries,14 nm,"5,700 million",232 mm²,GCN 4.0,MXM Module,100 W,1000 MHz,"2000 MHz
										
					8 Gbps effective",12 (12_0),4.6,2.1,1.3,,6.7,8 GB,GDDR5,256 bit,256.0 GB/s,34.46 GPixel/s,155.1 GTexel/s,4.963 TFLOPS (1:1),4.963 TFLOPS,310.2 GFLOPS (1:16),2304,Active,"Apr 18th, 2017"
3,XGI Volari V3,UMC,130 nm,25 million,unknown,XG4,Single-slot,unknown,,"200 MHz
										
					400 Mbps effective",8.1,1.3,N/A,N/A,,,128 MB,DDR,128 bit,6.400 GB/s,400.0 MPixel/s,800.0 MTexel/s,,,,,End-of-life,"Sep 15th, 2003"
4,NVIDIA Quadro NVS 280 PCI,TSMC,150 nm,45 million,91 mm²,Rankine,Single-slot,13 W,,"250 MHz
										
					500 Mbps effective",9.0a,"1.5 (full)
					2.0 (partial)",N/A,N/A,,,64 MB,DDR,64 bit,4.000 GB/s,1.100 GPixel/s,1.100 GTexel/s,,,,,End-of-life,"Oct 28th, 2003"
5,AMD Radeon Graphics 320SP Mobile,TSMC,7 nm,"9,800 million",156 mm²,GCN 5.1,IGP,15 W,400 MHz,System Shared,12 (12_1),4.6,2.1,1.3,,6.7,System Shared,System Shared,System Shared,System Dependent,11.20 GPixel/s,28.00 GTexel/s,1.792 TFLOPS (2:1),896.0 GFLOPS,56.00 GFLOPS (1:16),320,Active,"Jan 6th, 2020"
6,AMD Radeon HD 7850M,TSMC,28 nm,"1,500 million",123 mm²,GCN 1.0,,40 W,,"1000 MHz
										
					4 Gbps effective",12 (11_1),4.6,2.1 (1.2),1.2.170,,6.5 (5.1),2 GB,GDDR5,128 bit,64.00 GB/s,10.80 GPixel/s,27.00 GTexel/s,,864.0 GFLOPS,54.00 GFLOPS (1:16),640,End-of-life,"Apr 24th, 2012"
7,NVIDIA GeForce4 MX 440,TSMC,150 nm,29 million,65 mm²,Celsius,Single-slot,unknown,,"200 MHz
										
					400 Mbps effective",7.0,1.5,N/A,N/A,,,64 MB,DDR,128 bit,6.400 GB/s,550.0 MPixel/s,1.100 GTexel/s,,,,,End-of-life,"Feb 6th, 2002"
8,NVIDIA Quadro T1000 Mobile GDDR6,TSMC,12 nm,"4,700 million",200 mm²,Turing,IGP,50 W,1395 MHz,"1500 MHz
										
					12 Gbps effective",12 (12_1),4.6,3.0,1.3,7.5,6.7,4 GB,GDDR6,128 bit,192.0 GB/s,52.80 GPixel/s,92.40 GTexel/s,5.914 TFLOPS (2:1),2.957 TFLOPS,92.40 GFLOPS (1:32),896,Active,"Jun 8th, 2020"
9,AMD Tobago,TSMC,28 nm,"2,080 million",160 mm²,GCN 2.0,,,,,12 (12_0),4.6,2.1,1.2.170,,6.5,,,,,,,,,,896,,"May 5th, 2015"
