,game,release,peak_players,total_reviews,rating
0,Pizza Tower,2023-01-26,4529,227,96.39
1,Resident Evil 4,2023-03-24,168191,1616,95.75
2,The Murder of Sonic the Hedgehog,2023-03-31,15543,213,95.54
3,Pineapple on pizza,2023-03-28,1415,209,95.39
4,Hi-Fi RUSH,2023-01-25,6132,324,95.09
5,东北之夏,2023-01-09,8672,165,95.08
6,Crab Champions,2023-04-01,8564,81,94.76
7,Papa's Freezeria Deluxe,2023-03-31,1227,20,93.84
8,A Space for the Unbound,2023-01-19,338,27,93.64
9,Handshakes,2023-01-13,195,10,93.3
10,候鸟,2023-01-11,162,12,93.12
11,Симулятор Побега от Военкомата,2023-04-03,775,42,93.1
12,I commissioned some bees 0,2023-01-12,374,36,92.92
13,Spin Rhythm XD,2023-03-14,313,86,92.89
14,OCTOPATH TRAVELER II,2023-02-24,17008,158,92.85
15,Boneraiser Minions,2023-03-09,2029,97,92.82
16,Bloody Hell,2023-01-27,395,22,92.8
17,DREDGE,2023-03-30,12686,234,92.63
18,Your Only Move Is HUSTLE,2023-02-02,3405,245,92.5
19,Touhou Hero of Ice Fairy,2023-02-25,573,8,92.24
20,Your Turn To Die -Death Game By Majority- ,2023-02-20,471,4,92.23
21,DR LIVESEY ROM AND DEATH EDITION,2023-02-13,818,221,91.65
22,Half-Life: MMod,2023-03-14,1027,39,91.44
23,Hogwarts Legacy,2023-02-10,879308,14684,91.35
24,Big Ambitions,2023-03-10,10961,218,91.17
25,Apewar,2023-03-24,361,50,91.06
26,Meg's Monster,2023-03-02,195,7,91.06
27,The Test: Secrets of the Soul,2023-02-20,16,9,91.04
28,Barotrauma,2023-03-13,19655,3286,90.99
29,觅长生,2023-01-13,26379,1323,90.91
30,Birth,2023-02-17,183,7,90.74
31,Contraband Police,2023-03-08,8124,282,90.69
32,Bing in Wonderland,2023-01-13,977,48,90.69
33,Luck be a Landlord,2023-01-06,2544,459,90.5
34,Durka Simulator,2023-03-21,48,80,90.4
