steam_name,TechPowerUpName,MatchScore
ATI Radeon 9200,ATI Radeon 9200,100
ATI Radeon 9550,ATI Radeon 9550,100
ATI Radeon 9600,ATI Radeon 9600,100
ATI Radeon 9800,ATI Radeon 9800,100
ATI Radeon HD 2400,ATI Radeon HD 2400,100
ATI Radeon HD 3850,ATI Radeon HD 3850,100
ATI Radeon HD 3870,ATI Radeon HD 3870,100
ATI Radeon X1300,ATI Radeon X1300,100
ATI Radeon X1300,ATI Radeon X300,97
ATI Radeon X1300,ATI Radeon X1300,100
ATI Radeon X1600,ATI Radeon X1600,100
ATI Radeon X1600,ATI Radeon X600,97
ATI Radeon X1650,ATI Radeon X1650,100
ATI Radeon X1650,ATI Radeon X1650,100
ATI Radeon X300,ATI Radeon X1300,97
ATI Radeon X300,ATI Radeon X300,100
ATI Radeon X300,ATI Radeon X1300,97
ATI Radeon X600,ATI Radeon X1600,97
ATI Radeon X600,ATI Radeon X600,100
ATI Radeon X700,ATI Radeon X700,100
ATI Radeon X800,ATI Radeon X800,100
NVIDIA GeForce 6100,NVIDIA GeForce 610,97
NVIDIA GeForce 6100,NVIDIA GeForce 6100,100
NVIDIA GeForce 6200,NVIDIA GeForce 6200,100
NVIDIA GeForce 6600,NVIDIA GeForce 6600,100
NVIDIA GeForce 6800,NVIDIA GeForce 6800,100
NVIDIA GeForce 6800,NVIDIA GeForce 6800,100
NVIDIA GeForce 6800,NVIDIA GeForce 6800,100
NVIDIA GeForce 8400,NVIDIA GeForce 8400,100
NVIDIA GeForce 8400M,NVIDIA GeForce 840M,97
NVIDIA GeForce 8400M,NVIDIA GeForce 800M,97
NVIDIA GeForce 8400M,NVIDIA GeForce 8400,97
NVIDIA GeForce 8600M,NVIDIA GeForce 800M,97
NVIDIA GeForce 9800,NVIDIA GeForce 9800S,97
NVIDIA GeForce FX 5200,NVIDIA GeForce FX 5200,100
NVIDIA GeForce FX 5200,NVIDIA GeForce FX 5200,100
NVIDIA GeForce FX 5500,NVIDIA GeForce FX 5500,100
NVIDIA GeForce GTX 260,NVIDIA GeForce GTX 260,100
NVIDIA GeForce GTX 260,NVIDIA GeForce GTX 260M,98
NVIDIA GeForce GTX 280,NVIDIA GeForce GTX 280M,98
NVIDIA GeForce GTX 280,NVIDIA GeForce GTX 280,100
NVIDIA GeForce Go 7600,NVIDIA GeForce Go 7600,100
ATI Mobility Radeon HD 3470,ATI Mobility Radeon HD 3470,100
NVIDIA GeForce 9400,NVIDIA GeForce 9400M,97
NVIDIA GeForce 9400,NVIDIA GeForce 9400,100
NVIDIA GeForce 9400,NVIDIA GeForce 9400,100
NVIDIA GeForce 9400,NVIDIA GeForce 9400,100
NVIDIA GeForce 9400,NVIDIA GeForce 9400M,97
ATI Radeon HD 4670,ATI Radeon HD 4670,100
NVIDIA GeForce GTX 285,NVIDIA GeForce GTX 285M,98
NVIDIA GeForce GTX 285,NVIDIA GeForce GTX 285,100
ATI Radeon HD 3450,ATI Radeon HD 3450,100
ATI Mobility Radeon HD 3650,ATI Mobility Radeon HD 3650,100
NVIDIA GeForce GTS 150,NVIDIA GeForce GTS 150M,98
NVIDIA GeForce GTX 275,NVIDIA GeForce GTX 275,100
ATI Radeon HD 4650,ATI Radeon HD 4650,100
NVIDIA GeForce GTX 295,NVIDIA GeForce GTX 295,100
ATI Mobility Radeon HD 4570,ATI Mobility Radeon HD 4570,100
ATI Mobility Radeon HD 4650,ATI Mobility Radeon HD 4650,100
ATI Radeon HD 4350,ATI Radeon HD 4350,100
NVIDIA GeForce GT 220,NVIDIA GeForce GT 220,100
NVIDIA GeForce GT 220,NVIDIA GeForce GT 220M,98
NVIDIA GeForce GT 220,NVIDIA GeForce GT 220,100
ATI Mobility Radeon HD 2600,ATI Mobility Radeon HD 2600,100
ATI Mobility Radeon X1600,ATI Mobility Radeon X1600,100
ATI Mobility Radeon X1600,ATI Mobility Radeon X600,98
