id,game,link,release,peak_players,positive_reviews,negative_reviews,total_reviews,rating
0,Pizza Tower,/app/2231450/,Jan 26 2023,"4,529","19,807",227,227,96.39%
1,Resident Evil 4,/app/2050650/,Mar 24 2023,"168,191","61,752","1,616","1,616",95.75%
2,The Murder of Sonic the Hedgehog,/app/2324650/,Mar 31 2023,"15,543","12,643",213,213,95.54%
3,Pineapple on pizza,/app/2263010/,Mar 28 2023,"1,415","11,717",209,209,95.39%
4,Hi-Fi RUSH,/app/1817230/,Jan 25 2023,"6,132","14,152",324,324,95.09%
5,东北之夏,/app/2121360/,Jan 9 2023,"8,672","8,891",165,165,95.08%
6,Crab Champions,/app/774801/,Apr 1 2023,"8,564","5,129",81,81,94.76%
7,Papa's Freezeria Deluxe,/app/2291760/,Mar 31 2023,"1,227","1,832",20,20,93.84%
8,A Space for the Unbound,/app/1201270/,Jan 19 2023,338,"1,917",27,27,93.64%
9,Handshakes,/app/2171690/,Jan 13 2023,195,"1,166",10,10,93.30%
10,候鸟,/app/1765350/,Jan 11 2023,162,"1,149",12,12,93.12%
11,Симулятор Побега от Военкомата,/app/1248090/,Apr 3 2023,775,"1,995",42,42,93.10%
12,I commissioned some bees 0,/app/2250060/,Jan 12 2023,374,"1,733",36,36,92.92%
13,Spin Rhythm XD,/app/1058830/,Mar 14 2023,313,"2,909",86,86,92.89%
14,OCTOPATH TRAVELER II,/app/1971650/,Feb 24 2023,"17,008","4,403",158,158,92.85%
15,Boneraiser Minions,/app/1944570/,Mar 9 2023,"2,029","3,093",97,97,92.82%
16,Bloody Hell,/app/2056220/,Jan 27 2023,395,"1,308",22,22,92.80%
17,DREDGE,/app/1562430/,Mar 30 2023,"12,686","5,632",234,234,92.63%
18,Your Only Move Is HUSTLE,/app/2212330/,Feb 2 2023,"3,405","5,664",245,245,92.50%
19,Touhou Hero of Ice Fairy,/app/1955830/,Feb 25 2023,573,736,8,8,92.24%
20,Your Turn To Die -Death Game By Majority- ,/app/2067780/,Feb 20 2023,471,616,4,4,92.23%
21,DR LIVESEY ROM AND DEATH EDITION,/app/2181930/,Feb 13 2023,818,"4,397",221,221,91.65%
22,Half-Life: MMod,/app/1761270/,Mar 14 2023,"1,027","1,222",39,39,91.44%
23,Hogwarts Legacy,/app/990080/,Feb 10 2023,"879,308","179,479","14,684","14,684",91.35%
24,Big Ambitions,/app/1331550/,Mar 10 2023,"10,961","3,976",218,218,91.17%
25,Apewar,/app/2306590/,Mar 24 2023,361,"1,313",50,50,91.06%
26,Meg's Monster,/app/1783360/,Mar 2 2023,195,484,7,7,91.06%
27,The Test: Secrets of the Soul,/app/2231890/,Feb 20 2023,16,527,9,9,91.04%
28,Barotrauma,/app/602960/,Mar 13 2023,"19,655","41,677","3,286","3,286",90.99%
29,觅长生,/app/1189490/,Jan 13 2023,"26,379","17,906","1,323","1,323",90.91%
30,Birth,/app/1889040/,Feb 17 2023,183,442,7,7,90.74%
31,Contraband Police,/app/756800/,Mar 8 2023,"8,124","4,519",282,282,90.69%
32,Bing in Wonderland,/app/1710100/,Jan 13 2023,977,"1,184",48,48,90.69%
33,Luck be a Landlord,/app/1404850/,Jan 6 2023,"2,544","6,625",459,459,90.50%
34,Durka Simulator,/app/1450150/,Mar 21 2023,48,"1,598",80,80,90.40%
35, Dead Space,/app/1693980/,Jan 27 2023,"30,925","21,792","1,820","1,820",90.25%
36,PARANORMASIGHT: The Seven Mysteries of Honjo,/app/2106840/,Mar 8 2023,582,654,24,24,89.93%
37,Patch Quest,/app/1347970/,Mar 2 2023,"2,356","1,357",72,72,89.92%
38,Vertigo 2,/app/843390/,Mar 30 2023,295,497,15,15,89.88%
39,Larcin Lazer,/app/1707400/,Jan 24 2023,38,223,1,1,89.85%
40,Fallen Hero: Retribution,/app/1343810/,Feb 2 2023,379,242,2,2,89.79%
41,Scarlet Maiden,/app/1968840/,Jan 27 2023,736,895,42,42,89.72%
42,Landfall Archives,/app/2353760/,Mar 31 2023,"1,247",695,29,29,89.66%
43,Elong Plug,/app/2172030/,Feb 25 2023,34,231,2,2,89.63%
44,The Symbiant,/app/1883090/,Feb 2 2023,120,284,5,5,89.51%
45,Shogun Showdown: Prologue,/app/2316330/,Apr 4 2023,590,274,5,5,89.37%
46,流光易逝的夏末 - Fleeting Summer's End,/app/2205290/,Jan 6 2023,22,165,0,0,89.27%
47,Lake Haven - Chrysalis,/app/1696960/,Jan 18 2023,24,246,4,4,89.23%
48,The Legend of Heroes: Trails to Azure,/app/1668520/,Mar 14 2023,884,183,1,1,89.18%
49,Half-Life 2: VR Mod - Episode One,/app/2177750/,Mar 17 2023,193,237,4,4,89.08%
50,q.u.q.,/app/2302140/,Feb 27 2023,24,283,7,7,88.96%
51,The Last Spell,/app/1105670/,Mar 9 2023,"6,755","7,268",659,659,88.89%
52,EMPTY SHELL: PROLOGUE,/app/2224850/,Jan 6 2023,130,628,31,31,88.88%
53,Sifu,/app/2138710/,Mar 28 2023,"3,189","1,727",125,125,88.76%
54,方寸文明,/app/2230280/,Jan 1 2023,"1,414",787,45,45,88.70%
55,Crimson Snow,/app/2067790/,Mar 29 2023,103,758,43,43,88.67%
56,通神榜 Noobs Want to Live,/app/1737340/,Feb 14 2023,"8,622","3,135",263,263,88.61%
57,스테퍼 케이스: 초능력 추리 어드벤처,/app/2128480/,Mar 10 2023,134,242,6,6,88.54%
58,Ages of Conflict: World War Simulator,/app/2186320/,Feb 17 2023,312,442,20,20,88.47%
59,RHYTHM SPROUT,/app/1475840/,Feb 1 2023,204,311,11,11,88.40%
60,Mortal Sin,/app/1494810/,Mar 15 2023,191,280,9,9,88.38%
61,Figment 2: Creed Valley,/app/1085220/,Mar 9 2023,62,183,3,3,88.37%
62,Locke(d),/app/2267810/,Jan 23 2023,30,470,23,23,88.33%
63,Cultivation Story: Reincarnation,/app/1866880/,Jan 30 2023,"1,626","1,392",104,104,88.28%
64,Gorilla Tag,/app/1533390/,Jan 1 2023,"1,679","26,120","2,876","2,876",88.26%
65,SpongeBob SquarePants: The Cosmic Shake,/app/1282150/,Jan 31 2023,"1,949","1,203",88,88,88.19%
66,Can of Wormholes,/app/1295320/,Mar 24 2023,165,138,1,1,88.15%
67,Love Love School Days,/app/1305300/,Feb 6 2023,277,316,13,13,88.01%
68,Die in the Dungeon PROLOGUE,/app/2214080/,Jan 12 2023,379,311,13,13,87.92%
69,Season,/app/695330/,Jan 31 2023,461,747,50,50,87.88%
70,Halls of Torment Prelude,/app/2316660/,Mar 9 2023,"1,080",597,37,37,87.83%
71,挂机神话,/app/1863750/,Apr 7 2023,"1,142","1,326",107,107,87.76%
72,Demons Roots,/app/1933660/,Jan 14 2023,612,575,36,36,87.72%
73,24 Killers,/app/1668310/,Mar 9 2023,29,105,0,0,87.72%
