,game,link,release,peak_players,positive_reviews,negative_reviews,total_reviews,rating
0,RimWorld,/app/294100/,Oct 17 2018,"60,789","155,354","2,997","2,997",96.80%
1,Bloons TD 6,/app/960090/,Dec 18 2018,"53,943","240,551","6,265","6,265",96.33%
2,Celeste,/app/504230/,Jan 25 2018,"4,177","69,722","1,630","1,630",96.06%
3,Dead Cells,/app/588650/,Aug 6 2018,"14,910","126,294","3,679","3,679",95.81%
4,Subnautica,/app/264710/,Jan 24 2018,"51,156","218,296","7,728","7,728",95.44%
5,DUSK,/app/519860/,Dec 10 2018,551,"17,770",419,419,95.21%
6,Just Shapes & Beats,/app/531510/,May 31 2018,966,"16,280",372,372,95.21%
7,GRIS,/app/683320/,Dec 13 2018,"1,354","59,916","2,109","2,109",94.92%
8,Epic Battle Fantasy 5,/app/432350/,Nov 30 2018,"2,648","4,560",57,57,94.92%
9,Blade & Sorcery,/app/629730/,Dec 11 2018,"4,892","39,268","1,318","1,318",94.84%
10,Mirror,/app/644560/,Apr 19 2018,"8,250","83,523","3,314","3,314",94.68%
11,Zup! S,/app/617670/,Nov 15 2018,722,"11,503",294,294,94.68%
12,The Forest,/app/242760/,Apr 30 2018,"76,226","454,953","21,773","21,773",94.55%
13,Return of the Obra Dinn,/app/653530/,Oct 18 2018,"1,256","19,717",644,644,94.47%
14,Cube Escape: Paradox,/app/909080/,Sep 20 2018,"1,837","7,539",201,201,94.20%
15,Fox Hime Zero,/app/844930/,May 24 2018,383,"4,427",111,111,93.78%
16,Ultimate Custom Night,/app/871720/,Jun 27 2018,"11,320","44,130","2,062","2,062",93.74%
17,Yakuza 0,/app/638970/,Aug 1 2018,"8,985","55,779","2,725","2,725",93.68%
18,NEKOPARA Extra,/app/899970/,Jul 27 2018,575,"3,332",75,75,93.67%
19,Sabbat of the Witch,/app/888790/,Oct 26 2018,198,"2,056",31,31,93.66%
20,Kenshi,/app/233860/,Dec 6 2018,"10,971","63,982","3,272","3,272",93.55%
21,The Room Three,/app/456750/,Nov 13 2018,"1,339","8,988",331,331,93.48%
22,Zup! X,/app/508900/,May 17 2018,389,"5,961",196,196,93.43%
23,Flowers -Le volume sur ete-,/app/858940/,Jul 26 2018,34,"1,004",4,4,93.42%
24,Lethal League Blaze,/app/553310/,Oct 24 2018,"2,673","5,342",174,174,93.34%
25,Hello Charlotte: Childhood's End,/app/760890/,Jan 4 2018,70,"1,375",18,18,93.20%
26,Coloring Pixels,/app/897330/,Aug 17 2018,"1,535","5,733",210,210,93.07%
27,Maitetsu:Pure Station,/app/880950/,Sep 21 2018,339,"3,107",99,99,92.78%
28,Aim Lab,/app/714010/,Feb 7 2018,"10,381","81,126","4,981","4,981",92.77%
29,Mark of the Ninja: Remastered,/app/860950/,Oct 9 2018,687,"4,562",170,170,92.77%
30,STEINS;GATE 0,/app/825630/,May 8 2018,787,"4,599",174,174,92.74%
31,The Curse of Monkey Island,/app/730820/,Mar 22 2018,374,"2,070",54,54,92.73%
32,Meteor 60 Seconds!,/app/788770/,Feb 26 2018,346,"4,026",149,149,92.66%
33,Miracle Snack Shop,/app/995460/,Dec 25 2018,345,"2,153",60,60,92.64%
34,Farming Simulator 19,/app/787860/,Nov 19 2018,"59,466","63,330","3,913","3,913",92.62%
35,The Void Rains Upon Her Heart,/app/790060/,Feb 14 2018,39,549,0,0,92.52%
36,Kingdom Rush Origins,/app/816340/,Oct 17 2018,"2,000","5,012",211,211,92.47%
