id,game,release,peak_players,positive_reviews,negative_reviews,total_reviews,rating
0,Pizza Tower,2023,4529,"19,807",227,227,96.39%
1,Resident Evil 4,2023,168191,"61,752","1,616","1,616",95.75%
2,The Murder of Sonic the Hedgehog,2023,15543,"12,643",213,213,95.54%
3,Pineapple on pizza,2023,1415,"11,717",209,209,95.39%
4,Hi-Fi RUSH,2023,6132,"14,152",324,324,95.09%
5,东北之夏,2023,8672,"8,891",165,165,95.08%
6,Crab Champions,2023,8564,"5,129",81,81,94.76%
7,Papa's Freezeria Deluxe,2023,1227,"1,832",20,20,93.84%
8,A Space for the Unbound,2023,338,"1,917",27,27,93.64%
9,Handshakes,2023,195,"1,166",10,10,93.30%
10,候鸟,2023,162,"1,149",12,12,93.12%
11,Симулятор Побега от Военкомата,2023,775,"1,995",42,42,93.10%
12,I commissioned some bees 0,2023,374,"1,733",36,36,92.92%
13,Spin Rhythm XD,2023,313,"2,909",86,86,92.89%
14,OCTOPATH TRAVELER II,2023,17008,"4,403",158,158,92.85%
15,Boneraiser Minions,2023,2029,"3,093",97,97,92.82%
16,Bloody Hell,2023,395,"1,308",22,22,92.80%
17,DREDGE,2023,12686,"5,632",234,234,92.63%
18,Your Only Move Is HUSTLE,2023,3405,"5,664",245,245,92.50%
19,Touhou Hero of Ice Fairy,2023,573,736,8,8,92.24%
20,Your Turn To Die -Death Game By Majority- ,2023,471,616,4,4,92.23%
21,DR LIVESEY ROM AND DEATH EDITION,2023,818,"4,397",221,221,91.65%
22,Half-Life: MMod,2023,1027,"1,222",39,39,91.44%
23,Hogwarts Legacy,2023,879308,"179,479","14,684","14,684",91.35%
24,Big Ambitions,2023,10961,"3,976",218,218,91.17%
25,Apewar,2023,361,"1,313",50,50,91.06%
26,Meg's Monster,2023,195,484,7,7,91.06%
27,The Test: Secrets of the Soul,2023,16,527,9,9,91.04%
28,Barotrauma,2023,19655,"41,677","3,286","3,286",90.99%
29,觅长生,2023,26379,"17,906","1,323","1,323",90.91%
30,Birth,2023,183,442,7,7,90.74%
31,Contraband Police,2023,8124,"4,519",282,282,90.69%
32,Bing in Wonderland,2023,977,"1,184",48,48,90.69%
33,Luck be a Landlord,2023,2544,"6,625",459,459,90.50%
34,Durka Simulator,2023,48,"1,598",80,80,90.40%
35, Dead Space,2023,30925,"21,792","1,820","1,820",90.25%
36,PARANORMASIGHT: The Seven Mysteries of Honjo,2023,582,654,24,24,89.93%
37,Patch Quest,2023,2356,"1,357",72,72,89.92%
38,Vertigo 2,2023,295,497,15,15,89.88%
39,Larcin Lazer,2023,38,223,1,1,89.85%
40,Fallen Hero: Retribution,2023,379,242,2,2,89.79%
41,Scarlet Maiden,2023,736,895,42,42,89.72%
42,Landfall Archives,2023,1247,695,29,29,89.66%
43,Elong Plug,2023,34,231,2,2,89.63%
44,The Symbiant,2023,120,284,5,5,89.51%
45,Shogun Showdown: Prologue,2023,590,274,5,5,89.37%
46,流光易逝的夏末 - Fleeting Summer's End,2023,22,165,0,0,89.27%
47,Lake Haven - Chrysalis,2023,24,246,4,4,89.23%
48,The Legend of Heroes: Trails to Azure,2023,884,183,1,1,89.18%
49,Half-Life 2: VR Mod - Episode One,2023,193,237,4,4,89.08%
50,q.u.q.,2023,24,283,7,7,88.96%
51,The Last Spell,2023,6755,"7,268",659,659,88.89%
52,EMPTY SHELL: PROLOGUE,2023,130,628,31,31,88.88%
53,Sifu,2023,3189,"1,727",125,125,88.76%
54,方寸文明,2023,1414,787,45,45,88.70%
55,Crimson Snow,2023,103,758,43,43,88.67%
56,通神榜 Noobs Want to Live,2023,8622,"3,135",263,263,88.61%
57,스테퍼 케이스: 초능력 추리 어드벤처,2023,134,242,6,6,88.54%
58,Ages of Conflict: World War Simulator,2023,312,442,20,20,88.47%
59,RHYTHM SPROUT,2023,204,311,11,11,88.40%
60,Mortal Sin,2023,191,280,9,9,88.38%
61,Figment 2: Creed Valley,2023,62,183,3,3,88.37%
62,Locke(d),2023,30,470,23,23,88.33%
63,Cultivation Story: Reincarnation,2023,1626,"1,392",104,104,88.28%
64,Gorilla Tag,2023,1679,"26,120","2,876","2,876",88.26%
65,SpongeBob SquarePants: The Cosmic Shake,2023,1949,"1,203",88,88,88.19%
66,Can of Wormholes,2023,165,138,1,1,88.15%
67,Love Love School Days,2023,277,316,13,13,88.01%
68,Die in the Dungeon PROLOGUE,2023,379,311,13,13,87.92%
69,Season,2023,461,747,50,50,87.88%
70,Halls of Torment Prelude,2023,1080,597,37,37,87.83%
71,挂机神话,2023,1142,"1,326",107,107,87.76%
72,Demons Roots,2023,612,575,36,36,87.72%
73,24 Killers,2023,29,105,0,0,87.72%
74,Demonologist,2023,8806,"2,737",259,259,87.64%
75,Mr. Saitou,2023,61,214,7,7,87.62%
76,Aliens After Ava,2023,14,119,1,1,87.56%
77,The Light Brigade,2023,156,445,26,26,87.51%
78,SkyIsland,2023,216,478,29,29,87.49%
79,HOPE LEFT ME,2023,14,150,3,3,87.49%
80,Creepy Tale 3: Ingrid Penance,2023,121,165,4,4,87.48%
81,VOYAGER,2023,9,116,1,1,87.46%
82,Plasma,2023,358,161,4,4,87.36%
83,NOeSIS Ⅱ-人间无常,2023,17,113,1,1,87.35%
84,memories,2023,38,376,21,21,87.34%
85,Pleh!,2023,124,315,16,16,87.30%
86,Sun Haven,2023,12706,"5,357",587,587,87.19%
87,Atelier Ryza 3: Alchemist of the End & the Secret Key,2023,7162,717,54,54,87.19%
88,Above Snakes: Prologue,2023,3672,"1,116",95,95,87.18%
89,Metroplex Zero,2023,16,91,0,0,87.18%
90,SimRail - The Railway Simulator,2023,1914,"1,253",110,110,87.16%
91,SpunkStock: Music Festival,2023,277,165,5,5,87.05%
92,Farlanders,2023,251,313,17,17,87.03%
93,Clash: Artifacts of Chaos,2023,148,306,17,17,86.89%
94,Glory & Miserable Survivors DX,2023,776,390,26,26,86.63%
95,Soundodger 2,2023,53,109,2,2,86.55%
96,Caves of Lore,2023,103,148,5,5,86.47%
97,Lone Fungus,2023,214,194,9,9,86.38%
98,Passpartout 2: The Lost Artist,2023,591,272,16,16,86.37%
99,A Bavarian Tale - Totgeschwiegen,2023,57,144,5,5,86.32%
100,Coralina,2023,16,192,9,9,86.31%
101,King Of The Castle,2023,321,488,38,38,86.29%
102,ZED ZONE,2023,2569,"1,332",135,135,86.25%
103,Omega Strikers,2023,19257,"10,006","1,292","1,292",86.24%
104,BETON BRUTAL,2023,147,129,4,4,86.24%
105,ENTROPOLY,2023,41,102,2,2,86.23%
106,ふりかけ☆スペイシー,2023,48,71,0,0,86.20%
107,Cannibal Abduction,2023,25,138,5,5,86.09%
108,Graze Counter GM,2023,72,84,1,1,86.05%
109,The Multi-Medium,2023,15,84,1,1,86.05%
110,Basements n' Basilisks: Storms of Sorcery,2023,20,98,2,2,86.04%
111,Partum Artifex,2023,17,83,1,1,86.00%
112,Plan B: Terraform,2023,2352,"1,072",108,108,85.99%
113,Dreams in the Witch House,2023,42,123,4,4,85.98%
114,Planet Cube: Edge,2023,14,97,2,2,85.98%
115,The Pale Beyond,2023,738,731,68,68,85.94%
116,Kujlevka,2023,73,82,1,1,85.94%
117,vivid/stasis,2023,53,109,3,3,85.92%
118,Aces and Adventures,2023,2455,879,87,87,85.82%
119,Tower Tactics: Liberation,2023,808,751,72,72,85.79%
120,一起击碎吧,2023,28,62,0,0,85.63%
121,Time Wasters,2023,934,695,67,67,85.62%
122,Kandria,2023,26,90,2,2,85.61%
123,Juno: New Origins,2023,780,"1,953",229,229,85.60%
124,Hell Of An Office,2023,26,76,1,1,85.58%
125,Confabulation,2023,13,61,0,0,85.57%
126,Good Pizza  Great Pizza,2023,145,"1,453",164,164,85.55%
127,Lords of Infinity,2023,270,114,4,4,85.55%
128,Apex Point,2023,385,604,57,57,85.52%
129,Looking Up I See Only A Ceiling,2023,12,147,7,7,85.50%
130,Magic Tower & Maidens,2023,61,124,5,5,85.47%
131,Robolife2-Nova Duty,2023,892,313,24,24,85.45%
132,Revenant,2023,20,74,1,1,85.45%
133,Crafty Survivors,2023,374,198,12,12,85.44%
134,Emberfate: Tempest of Elements,2023,21,59,0,0,85.42%
135,DIG - Deep In Galaxies,2023,40,73,1,1,85.39%
136,與經紀人戀愛是絕對禁止2,2023,518,264,19,19,85.38%
137,It Comes In Waves,2023,19,86,2,2,85.37%
138,Weird and Unfortunate Things Are Happening,2023,29,58,0,0,85.35%
139,EVERSPACE™ 2,2023,9760,"5,400",732,732,85.31%
140,SHUFFLE! Episode 2 ~Kami ni mo Akuma ni mo Nerawareteiru Otoko~,2023,89,120,5,5,85.27%
141,Handyman Legend,2023,1002,484,45,45,85.21%
142,觅光：第一章 - Seeking Light : Chapter 1,2023,28,56,0,0,85.20%
143,Postmouse,2023,123,482,45,45,85.18%
144,Horny Warp,2023,218,210,14,14,85.18%
145,Corsair`s Madness Prologue: Jungle`s Island,2023,46,69,1,1,85.11%
146,Backfirewall_,2023,86,178,11,11,85.08%
147,Troublemaker,2023,374,458,43,43,85.05%
148,Zup! Q,2023,33,68,1,1,85.04%
149,Witch's Garden,2023,117,68,1,1,85.04%
150,Drawing From Memory,2023,134,147,8,8,85.03%
151,FATAL FRAME / PROJECT ZERO: Mask of the Lunar Eclipse,2023,1372,734,79,79,84.93%
152,Temple Of Snek,2023,21,134,7,7,84.90%
153,我在终点线等你,2023,22,66,1,1,84.89%
154,上古传说,2023,126,219,16,16,84.85%
155,9 Childs Street,2023,30,235,18,18,84.79%
156,KOP KILLER 22XX,2023,6,51,0,0,84.78%
157,Souls of White Star,2023,86,88,3,3,84.73%
158,Organs Please,2023,62,150,9,9,84.72%
159,Selene ~Apoptosis~,2023,704,"1,527",192,192,84.71%
160,Ash of Gods: The Way Prologue,2023,747,250,20,20,84.71%
161,Zero-G Gunfight,2023,6,50,0,0,84.69%
162,In Sink: A Co-Op Escape Prologue,2023,1323,"1,167",142,142,84.64%
163,Tower Escape,2023,283,213,16,16,84.64%
164,ITRP _ Aero Star,2023,91,75,2,2,84.63%
165,Aery - Calm Mind 3,2023,5,49,0,0,84.60%
166,Fateweaver: The Alchemist's Quandary,2023,8,49,0,0,84.60%
167,Tanky Tanks 2,2023,6,49,0,0,84.60%
168,Girl & Gem Magic,2023,85,211,16,16,84.57%
169,Battle Ram,2023,4403,887,104,104,84.56%
170,Relic Dudes,2023,86,173,12,12,84.49%
171,Let's Pet Pets,2023,12,61,1,1,84.49%
172,Final Profit: A Shop RPG,2023,34,73,2,2,84.48%
173,The Farmer Was Replaced,2023,23,47,0,0,84.41%
174,ARK and ADE,2023,13,72,2,2,84.40%
175,Aery VR - A Journey Beyond Time,2023,4,60,1,1,84.40%
176,Gone Rogue,2023,59,83,3,3,84.39%
177,Nebula,2023,67,82,3,3,84.31%
178,The Space-Eating Croc,2023,12,59,1,1,84.31%
179,Super Cakeboy,2023,23,46,0,0,84.31%
180,东方雪莲华 ～ Abyss Soul Lotus.,2023,290,309,29,29,84.25%
181,Crush the Industry,2023,112,70,2,2,84.24%
182,Robo Maestro,2023,12,58,1,1,84.22%
183,Powerful Courses,2023,7,45,0,0,84.21%
184,Cataclysm: Dark Days Ahead,2023,114,120,7,7,84.16%
185,WooLoop,2023,404,829,101,101,84.14%
186,8-Bit Adventures 2,2023,64,100,5,5,84.13%
187,POOSTALL Royale,2023,164,572,65,65,84.10%
188,Deceive Inc.,2023,2310,"1,419",190,190,84.06%
189,Waves of Steel,2023,112,278,26,26,84.04%
190,Methods: The Canada Files,2023,19,56,1,1,84.03%
191,Brave Soldier - Invasion of Cyborgs,2023,6,43,0,0,84.00%
192,Breakers Collection,2023,78,67,2,2,83.99%
193,Loretta,2023,48,135,9,9,83.97%
194,Evacuation,2023,119,584,68,68,83.95%
195,Unbreakable Vr Runner,2023,5,55,1,1,83.94%
196,Terraformers,2023,1853,"1,435",195,195,83.93%
197,Vengeful Guardian: Moonrider,2023,103,226,20,20,83.90%
198,江城创业记,2023,1126,334,34,34,83.88%
199,LOUD,2023,13,42,0,0,83.88%
200,Girl Fantasy,2023,170,385,41,41,83.86%
201,Atomic Heart,2023,38469,"17,536","2,941","2,941",83.84%
202,Pocky & Rocky Reshrined,2023,34,65,2,2,83.81%
203,Elle: Portal,2023,46,114,7,7,83.80%
204,STRANGER OF PARADISE FINAL FANTASY ORIGIN,2023,2544,454,51,51,83.78%
205,Garden in!,2023,63,131,9,9,83.75%
206,Fears to Fathom - Episode 3,2023,383,627,76,76,83.74%
