,id,game,link,Primary Genre,Store Genres,Publisher,Developer,Detected Technologies,Store Asset Modification Time,review_percentage,players right now,24-hour peak,all-time peak,all-time date
0,0,Pizza Tower,/app/2231450/,Action (1),"Action (1), Indie (23)",Tour De Pizza,Tour De Pizza,"Engine.GameMaker, SDK.FMOD",10 January 2023 – 18:39:28 UTC (3 months ago) (1673375968),98,"3,101","3,606","4,529",2023-03-25T20:35:04+00:00
1,1,Resident Evil 4,/app/2050650/,Action (1),"Action (1), Adventure (25)","CAPCOM Co., Ltd.","CAPCOM Co., Ltd.","Engine.RE_Engine, SDK.AMD_GPU_Services",29 March 2023 – 05:31:05 UTC (17 days ago) (1680067865),97,"46,289","47,164","168,191",2023-03-25T15:05:04+00:00
2,2,The Murder of Sonic the Hedgehog,/app/2324650/,Casual (4),"Casual (4), Free to Play (37), Indie (23), Simulation (28)",SEGA,SEGA,"Engine.Unity, SDK.UnityBurst, SDK.cURL",24 March 2023 – 17:10:52 UTC (22 days ago) (1679677852),98,618,776,"15,543",2023-03-31T21:25:04+00:00
3,3,Pineapple on pizza,/app/2263010/,Indie (23),"Casual (4), Free to Play (37), Indie (23)",Majorariatto,Majorariatto,"Engine.Unity, SDK.cURL",22 March 2023 – 21:17:01 UTC (24 days ago) (1679519821),98,101,101,"1,415",2023-03-28T16:35:04+00:00
4,4,Hi-Fi RUSH,/app/1817230/,Action (1),Action (1),Bethesda Softworks,Tango Gameworks,"Engine.Unreal, SDK.Intel_OID, SDK.Intel_XeSS, SDK.NVIDIA_APEX, SDK.NVIDIA_DLSS, SDK.NVIDIA_GeForce_Now, SDK.NVIDIA_Nsight_Aftermath, SDK.NVIDIA_PhysX, SDK.Vorbis, SDK.Wwise, SDK.XAudio2, SDK.iZotope",11 April 2023 – 18:58:58 UTC (4 days ago) (1681239538),97,630,664,"6,132",2023-01-29T05:05:04+00:00
5,5,东北之夏,/app/2121360/,RPG (3),"Free to Play (37), RPG (3)",庄不纯工作室,庄不纯工作室,Engine.Unity,29 September 2022 – 15:18:39 UTC (7 months ago) (1664464719),98,62,75,"8,672",2023-01-10T11:30:04+00:00
6,6,Crab Champions,/app/774801/,Action (1),"Action (1), Adventure (25), Casual (4), Indie (23), Racing (9), Strategy (2), Early Access (70)",Noisestorm Limited,Noisestorm Limited,"Engine.Unreal, SDK.NVIDIA_APEX, SDK.NVIDIA_GeForce_Now, SDK.NVIDIA_Nsight_Aftermath, SDK.NVIDIA_PhysX, SDK.Vorbis, SDK.XAudio2",2 April 2023 – 08:37:17 UTC (13 days ago) (1680424637),98,"4,142","6,419","8,564",2023-04-08T04:05:04+00:00
7,7,Papa's Freezeria Deluxe,/app/2291760/,Strategy (2),"Action (1), Casual (4), Indie (23), Simulation (28), Strategy (2)",Flipline Studios,Flipline Studios,Engine.Adobe_AIR,28 March 2023 – 18:04:54 UTC (18 days ago) (1680026694),99,661,838,"1,227",2023-04-02T19:05:05+00:00
8,8,A Space for the Unbound,/app/1201270/,Adventure (25),"Adventure (25), Indie (23)",Toge Productions,Mojiken,"Engine.Unity, SDK.FMOD, SDK.SteamworksNET, SDK.cURL",14 February 2023 – 01:03:10 UTC (2 months ago) (1676336590),98,63,63,338,2023-01-20T14:40:06+00:00
9,9,Handshakes,/app/2171690/,Free to Play (37),"Casual (4), Free to Play (37)",Pet Pumpkin,Pet Pumpkin,"Engine.Unity, SDK.SteamworksNET, SDK.cURL",26 March 2023 – 12:49:34 UTC (20 days ago) (1679834974),99,8,15,195,2023-01-21T21:50:09+00:00
