,id,game,link,Primary Genre,Store Genres,Publisher,Developer,Detected Technologies,Store Asset Modification Time,review_percentage,players right now,24-hour peak,all-time peak,all-time date
0,0,RimWorld,/app/294100/,Simulation (28),"Indie (23), Simulation (28), Strategy (2)",Ludeon Studios,Ludeon Studios,"Engine.Unity, SDK.SteamworksNET, SDK.Vorbis",23 January 2023 – 17:35:22 UTC (3 months ago) (1674495322),98.0,"19,052","19,782","60,789",2022-10-23T19:00:03+00:00
1,1,Bloons TD 6,/app/960090/,Strategy (2),Strategy (2),Ninja Kiwi,Ninja Kiwi,"Engine.Unity, SDK.Discord, SDK.EpicOnlineServices, SDK.XAudio2",3 April 2023 – 21:28:58 UTC (16 days ago) (1680557338),97.0,"18,698","20,608","53,943",2021-03-21T20:35:03+00:00
2,2,Celeste,/app/504230/,Indie (23),"Action (1), Adventure (25), Indie (23)",Maddy Makes Games Inc.,"Extremely OK Games, Ltd.","Engine.FNA, Engine.MonoGame, Engine.XNA, SDK.FMOD, SDK.SteamworksNET",6 September 2019 – 03:32:54 UTC (4 years ago) (1567740774),97.0,"1,430","1,665","4,177",2023-03-26T14:45:04+00:00
3,3,Dead Cells,/app/588650/,Action (1),"Action (1), Adventure (25), Indie (23)",Motion Twin,Motion Twin,"Engine.HashLink, Engine.Heaps, SDK.OpenAL, SDK.SDL, SDK.Vorbis",7 March 2023 – 11:19:56 UTC (last month) (1678187996),97.0,"3,108","4,640","14,910",2023-03-11T14:30:06+00:00
4,4,Subnautica,/app/264710/,Adventure (25),"Adventure (25), Indie (23)",Unknown Worlds Entertainment,Unknown Worlds Entertainment,"Engine.Unity, SDK.FMOD, SDK.OculusXRPlugin, SDK.OpenVR, SDK.SteamworksNET, SDK.UnityBurst",14 October 2021 – 18:42:48 UTC (2 years ago) (1634236968),96.0,"3,203","3,332","51,156",2018-01-28T19:30:03+00:00
5,5,DUSK,/app/519860/,Action (1),"Action (1), Indie (23)",New Blood Interactive,David Szymanski,"Engine.Unity, SDK.Vorbis, SDK.cURL",14 July 2021 – 18:09:15 UTC (2 years ago) (1626286155),97.0,79,112,551,2018-12-15T20:10:05+00:00
6,6,Just Shapes & Beats,/app/531510/,Action (1),"Action (1), Indie (23)",Berzerk Studio,Berzerk Studio,"Engine.Unity, SDK.Discord",31 October 2022 – 13:13:48 UTC (6 months ago) (1667222028),97.0,65,87,966,2021-07-23T19:35:04+00:00
7,7,GRIS,/app/683320/,Indie (23),"Adventure (25), Indie (23)",Devolver Digital,Nomada Studio,"Engine.Unity, SDK.Wwise",28 October 2022 – 19:32:06 UTC (6 months ago) (1666985526),96.0,53,73,"1,354",2021-12-22T14:55:03+00:00
8,8,Epic Battle Fantasy 5,/app/432350/,RPG (3),"Adventure (25), RPG (3), Strategy (2)",Matt Roszak,Matt Roszak,Engine.Adobe_AIR,5 February 2020 – 16:23:30 UTC (3 years ago) (1580919810),98.0,64,89,"2,648",2018-12-02T20:10:04+00:00
9,9,Blade & Sorcery,/app/629730/,Action (1),"Action (1), Adventure (25), Indie (23), RPG (3), Simulation (28), Early Access (70)",WarpFrog,WarpFrog,"Engine.Unity, SDK.OculusXRPlugin, SDK.OpenVR, SDK.SteamworksNET, SDK.UnityBurst, SDK.UnityURP, SDK.cURL",1 December 2022 – 13:33:44 UTC (5 months ago) (1669901624),96.0,735,"1,083","4,892",2020-06-04T22:45:03+00:00
10,10,Mirror,/app/644560/,Adventure (25),"Adventure (25), Indie (23), RPG (3)",Paradise Project,KAGAMI WORKS,Engine.Unity,7 September 2021 – 01:09:13 UTC (2 years ago) (1630976953),96.0,138,224,"8,250",2022-01-23T15:15:04+00:00
11,11,Zup! S,/app/617670/,Indie (23),"Casual (4), Indie (23)",Quiet River,Quiet River,,29 October 2022 – 11:53:21 UTC (6 months ago) (1667044401),97.0,26,35,722,2021-07-08T03:50:04+00:00
12,12,The Forest,/app/242760/,Action (1),"Action (1), Adventure (25), Indie (23), Simulation (28)",Endnight Games Ltd,Endnight Games Ltd,"Engine.Unity, SDK.FMOD, SDK.OculusXRPlugin, SDK.OpenVR",26 October 2022 – 19:03:06 UTC (6 months ago) (1666810986),95.0,"4,267","5,243","76,226",2022-10-29T14:15:04+00:00
13,13,Return of the Obra Dinn,/app/653530/,Adventure (25),"Adventure (25), Indie (23)",3909,Lucas Pope,Engine.Unity,15 June 2019 – 14:11:24 UTC (4 years ago) (1560607884),96.0,78,98,"1,256",2019-04-21T15:00:04+00:00
14,14,Cube Escape: Paradox,/app/909080/,Adventure (25),"Adventure (25), Free to Play (37), Indie (23)",Rusty Lake,Rusty Lake,"Engine.Adobe_AIR, SDK.Adobe_Flash",29 October 2020 – 14:13:54 UTC (3 years ago) (1603980834),97.0,86,134,"1,837",2018-09-22T14:40:04+00:00
15,15,Fox Hime Zero,/app/844930/,Adventure (25),"Adventure (25), Casual (4), Indie (23), RPG (3)",SakuraGame,AsicxArt,Engine.Unity,13 November 2022 – 07:37:17 UTC (5 months ago) (1668325037),97.0,2,8,383,2022-07-13T21:00:06+00:00
16,16,Ultimate Custom Night,/app/871720/,Indie (23),"Action (1), Free to Play (37), Indie (23)",Scott Cawthon,Scott Cawthon,,8 June 2018 – 04:52:30 UTC (5 years ago) (1528433550),95.0,258,301,"11,320",2018-06-27T20:00:05+00:00
17,17,Yakuza 0,/app/638970/,Action (1),"Action (1), Adventure (25), RPG (3)",SEGA,Ryu Ga Gotoku Studio,SDK.CRIWARE,29 November 2022 – 15:24:08 UTC (5 months ago) (1669735448),95.0,850,922,"8,985",2018-08-01T15:30:03+00:00
18,18,NEKOPARA Extra,/app/899970/,Casual (4),"Casual (4), Indie (23)",Sekai Project,NEKO WORKs,"Engine.KiriKiri, SDK.Vorbis",23 July 2019 – 05:33:13 UTC (4 years ago) (1563859993),97.0,11,16,575,2018-07-27T10:40:04+00:00
19,19,Sabbat of the Witch,/app/888790/,Adventure (25),"Adventure (25), Casual (4), Simulation (28)",NekoNyan Ltd.,Yuzusoft,"Engine.KiriKiri, SDK.Vorbis",19 September 2019 – 17:37:48 UTC (4 years ago) (1568914668),98.0,16,31,198,2018-10-28T14:10:08+00:00
20,20,Kenshi,/app/233860/,Action (1),"Action (1), Indie (23), RPG (3), Simulation (28), Strategy (2)",Lo-Fi Games,Lo-Fi Games,"Engine.OGRE, SDK.OpenSSL, SDK.SteamworksNET",22 December 2022 – 16:06:14 UTC (4 months ago) (1671725174),95.0,"4,411","4,965","10,971",2023-02-05T20:05:04+00:00
21,21,The Room Three,/app/456750/,Adventure (25),"Adventure (25), Indie (23)",Fireproof Games,Fireproof Games,Engine.Unity,24 February 2020 – 15:20:04 UTC (3 years ago) (1582557604),96.0,83,90,"1,339",2019-10-07T19:10:04+00:00
22,22,Zup! X,/app/508900/,Indie (23),"Casual (4), Indie (23)",Quiet River,Quiet River,,29 October 2022 – 11:38:58 UTC (6 months ago) (1667043538),96.0,8,11,389,2018-05-17T18:30:05+00:00
23,23,Flowers -Le volume sur ete-,/app/858940/,Casual (4),Casual (4),JAST USA,Innocent Grey,,8 September 2020 – 08:54:32 UTC (3 years ago) (1599555272),99.0,3,11,34,2022-06-29T14:40:10+00:00
24,24,Lethal League Blaze,/app/553310/,Action (1),"Action (1), Indie (23), Sports (18)",Team Reptile,Team Reptile,Engine.Unity,31 October 2022 – 15:22:33 UTC (6 months ago) (1667229753),96.0,23,48,"2,673",2018-10-25T00:30:04+00:00
25,25,Hello Charlotte: Childhood's End,/app/760890/,RPG (3),"Indie (23), RPG (3)",etherane,etherane,Engine.RPGMaker,8 November 2022 – 09:08:58 UTC (5 months ago) (1667898538),98.0,3,7,70,2018-01-05T13:20:11+00:00
26,26,Coloring Pixels,/app/897330/,Free to Play (37),"Casual (4), Free to Play (37), Indie (23)",ToastieLabs,ToastieLabs,"Engine.Unity, SDK.Discord",8 August 2022 – 13:08:35 UTC (8 months ago) (1659964115),96.0,516,599,"1,535",2018-08-31T20:30:05+00:00
27,27,Maitetsu:Pure Station,/app/880950/,Adventure (25),Adventure (25),HIKARI FIELD,Lose,"Engine.KiriKiri, SDK.Vorbis",25 November 2019 – 03:08:16 UTC (3 years ago) (1574651296),96.0,9,19,339,2018-09-24T15:00:07+00:00
28,28,Aim Lab,/app/714010/,Action (1),"Action (1), Adventure (25), Casual (4), Free to Play (37), Indie (23), Simulation (28), Early Access (70)",Statespace,Statespace,"Engine.Unity, SDK.CEF",21 January 2022 – 16:04:27 UTC (15 months ago) (1642781067),94.0,"4,783","5,250","10,381",2021-05-04T16:45:04+00:00
29,29,Mark of the Ninja: Remastered,/app/860950/,Indie (23),"Action (1), Indie (23)",Klei Entertainment,Klei Entertainment,"SDK.Bink_Video, SDK.FMOD, SDK.SDL",19 November 2022 – 21:23:09 UTC (5 months ago) (1668892989),96.0,15,31,687,2018-10-13T14:20:06+00:00
30,30,STEINS;GATE 0,/app/825630/,Adventure (25),Adventure (25),"Spike Chunsoft Co., Ltd.",MAGES. Inc.,SDK.Bink_Video,11 October 2019 – 05:48:52 UTC (4 years ago) (1570772932),96.0,41,73,787,2018-05-12T15:10:04+00:00
31,31,The Curse of Monkey Island,/app/730820/,Adventure (25),Adventure (25),LucasArts,LucasArts,"Emulator.SCUMMVM, SDK.SDL",20 March 2018 – 20:47:01 UTC (5 years ago) (1521578821),97.0,36,37,374,2018-03-25T18:40:06+00:00
32,32,Meteor 60 Seconds!,/app/788770/,Simulation (28),"Action (1), Casual (4), Free to Play (37), Indie (23), Simulation (28)",Avocavo,Avocavo,Engine.Unity,1 April 2018 – 00:06:44 UTC (5 years ago) (1522541204),96.0,1,7,346,2018-03-02T21:30:06+00:00
33,33,Miracle Snack Shop,/app/995460/,Indie (23),"Casual (4), Indie (23), Simulation (28)","TALESSHOP Co., Ltd.","TALESSHOP Co., Ltd.",Engine.Adobe_AIR,19 December 2022 – 12:21:34 UTC (4 months ago) (1671452494),97.0,1,5,345,2019-04-01T14:10:04+00:00
34,34,Farming Simulator 19,/app/787860/,Simulation (28),Simulation (28),Giants Software,Giants Software,"SDK.EpicOnlineServices, SDK.Tobii",22 March 2021 – 12:25:00 UTC (2 years ago) (1616415900),94.0,"4,523","4,781","59,466",2018-11-20T19:30:03+00:00
35,35,The Void Rains Upon Her Heart,/app/790060/,Early Access (70),"Action (1), Indie (23), Early Access (70)",The Hidden Levels,Veyeral Games,Engine.GameMaker,27 November 2021 – 05:22:51 UTC (17 months ago) (1637990571),100.0,9,14,39,2022-02-15T22:20:09+00:00
36,36,Kingdom Rush Origins,/app/816340/,Indie (23),"Indie (23), Strategy (2)",Ironhide Game Studio,Ironhide Game Studio,"Engine.Love2D, SDK.OpenAL, SDK.SDL, SDK.Vorbis",7 October 2022 – 13:04:28 UTC (6 months ago) (1665147868),95.0,110,196,"2,000",2018-10-20T14:30:04+00:00
37,37,Zup! 8,/app/799070/,Indie (23),"Casual (4), Indie (23)",Quiet River,Quiet River,,29 October 2022 – 11:34:16 UTC (6 months ago) (1667043256),96.0,4,7,754,2021-07-07T23:55:04+00:00
38,38,Airships: Conquer the Skies,/app/342560/,Strategy (2),"Action (1), Indie (23), Strategy (2)",David Stark,David Stark,"SDK.JVM, SDK.OpenAL",11 August 2022 – 13:26:34 UTC (8 months ago) (1660224394),95.0,80,107,"1,313",2022-08-17T20:00:03+00:00
39,39,The Witch's House MV,/app/885810/,Indie (23),"Adventure (25), Casual (4), Indie (23), RPG (3)",DANGEN Entertainment,Fummy,"Engine.RPGMaker, SDK.NWJS, SDK.NodeJS",16 September 2021 – 05:09:41 UTC (2 years ago) (1631768981),96.0,2,10,195,2018-10-31T14:00:08+00:00
40,40,Lobotomy Corporation,/app/568220/,Indie (23),"Indie (23), Simulation (28)",ProjectMoon,ProjectMoon,Engine.Unity,10 December 2017 – 05:20:53 UTC (5 years ago) (1512883253),94.0,"1,014","2,281","3,748",2023-04-08T13:50:04+00:00
