date,cores,tmus,rops,memory_size,bus_width,release_date,real_users
4468.0,160.0,20.0,2.0,0.0,0.0,4159.0,34026.0
4498.0,160.0,20.0,2.0,0.0,0.0,4159.0,38932.0
4529.0,160.0,20.0,2.0,0.0,0.0,4159.0,47065.0
4559.0,160.0,20.0,2.0,0.0,0.0,4159.0,55822.0
4590.0,160.0,20.0,2.0,0.0,0.0,4159.0,55197.0
4621.0,160.0,20.0,2.0,0.0,0.0,4159.0,64842.0
4651.0,160.0,20.0,2.0,0.0,0.0,4159.0,61218.0
4682.0,160.0,20.0,2.0,0.0,0.0,4159.0,75148.0
4712.0,160.0,20.0,2.0,0.0,0.0,4159.0,85061.0
4743.0,160.0,20.0,2.0,0.0,0.0,4159.0,89747.0
4863.0,160.0,20.0,2.0,0.0,0.0,4159.0,104824.0
4894.0,160.0,20.0,2.0,0.0,0.0,4159.0,109984.0
4986.0,160.0,20.0,2.0,0.0,0.0,4159.0,111741.0
5047.0,160.0,20.0,2.0,0.0,0.0,4159.0,157648.0
5108.0,160.0,20.0,2.0,0.0,0.0,4159.0,127624.0
5139.0,160.0,20.0,2.0,0.0,0.0,4159.0,118566.0
5168.0,160.0,20.0,2.0,0.0,0.0,4159.0,115382.0
5199.0,160.0,20.0,2.0,0.0,0.0,4159.0,115347.0
5229.0,160.0,20.0,2.0,0.0,0.0,4159.0,126385.0
5260.0,160.0,20.0,2.0,0.0,0.0,4159.0,115032.0
5290.0,160.0,20.0,2.0,0.0,0.0,4159.0,115784.0
5321.0,160.0,20.0,2.0,0.0,0.0,4159.0,107131.0
5382.0,160.0,20.0,2.0,0.0,0.0,4159.0,132102.0
5413.0,160.0,20.0,2.0,0.0,0.0,4159.0,121851.0
5443.0,160.0,20.0,2.0,0.0,0.0,4159.0,116813.0
5686.0,160.0,20.0,2.0,0.0,0.0,4159.0,92869.0
5747.0,160.0,20.0,2.0,0.0,0.0,4159.0,75900.0
5778.0,160.0,20.0,2.0,0.0,0.0,4159.0,56829.0
5808.0,160.0,20.0,2.0,0.0,0.0,4159.0,54978.0
5839.0,160.0,20.0,2.0,0.0,0.0,4159.0,50694.0
5870.0,160.0,20.0,2.0,0.0,0.0,4159.0,48780.0
5898.0,160.0,20.0,2.0,0.0,0.0,4159.0,60412.0
5929.0,160.0,20.0,2.0,0.0,0.0,4159.0,92882.0
5959.0,160.0,20.0,2.0,0.0,0.0,4159.0,92592.0
5990.0,160.0,20.0,2.0,0.0,0.0,4159.0,89548.0
6020.0,160.0,20.0,2.0,0.0,0.0,4159.0,83427.0
6051.0,160.0,20.0,2.0,0.0,0.0,4159.0,80128.0
6082.0,160.0,20.0,2.0,0.0,0.0,4159.0,87510.0
6112.0,160.0,20.0,2.0,0.0,0.0,4159.0,71331.0
6143.0,160.0,20.0,2.0,0.0,0.0,4159.0,79730.0
6173.0,160.0,20.0,2.0,0.0,0.0,4159.0,90044.0
6204.0,160.0,20.0,2.0,0.0,0.0,4159.0,88373.0
6235.0,160.0,20.0,2.0,0.0,0.0,4159.0,81749.0
6263.0,160.0,20.0,2.0,0.0,0.0,4159.0,81749.0
6294.0,160.0,20.0,2.0,0.0,0.0,4159.0,72614.0
6324.0,160.0,20.0,2.0,0.0,0.0,4159.0,81214.0
6355.0,160.0,20.0,2.0,0.0,0.0,4159.0,75721.0
6385.0,160.0,20.0,2.0,0.0,0.0,4159.0,76918.0
6416.0,160.0,20.0,2.0,0.0,0.0,4159.0,71710.0
6447.0,160.0,20.0,2.0,0.0,0.0,4159.0,77260.0
6477.0,160.0,20.0,2.0,0.0,0.0,4159.0,65684.0
6508.0,160.0,20.0,2.0,0.0,0.0,4159.0,70012.0
6538.0,160.0,20.0,2.0,0.0,0.0,4159.0,77199.0
6569.0,160.0,20.0,2.0,0.0,0.0,4159.0,75878.0
6600.0,160.0,20.0,2.0,0.0,0.0,4159.0,85678.0
6629.0,160.0,20.0,2.0,0.0,0.0,4159.0,82726.0
6660.0,160.0,20.0,2.0,0.0,0.0,4159.0,111965.0
6690.0,160.0,20.0,2.0,0.0,0.0,4159.0,110522.0
6721.0,160.0,20.0,2.0,0.0,0.0,4159.0,97356.0
6751.0,160.0,20.0,2.0,0.0,0.0,4159.0,90990.0
6782.0,160.0,20.0,2.0,0.0,0.0,4159.0,83575.0
6813.0,160.0,20.0,2.0,0.0,0.0,4159.0,85883.0
6843.0,160.0,20.0,2.0,0.0,0.0,4159.0,89724.0
6874.0,160.0,20.0,2.0,0.0,0.0,4159.0,95174.0
6904.0,160.0,20.0,2.0,0.0,0.0,4159.0,80250.0
6935.0,160.0,20.0,2.0,0.0,0.0,4159.0,91968.0
6966.0,160.0,20.0,2.0,0.0,0.0,4159.0,93394.0
6994.0,160.0,20.0,2.0,0.0,0.0,4159.0,91767.0
7025.0,160.0,20.0,2.0,0.0,0.0,4159.0,88171.0
7055.0,160.0,20.0,2.0,0.0,0.0,4159.0,86232.0
7086.0,160.0,20.0,2.0,0.0,0.0,4159.0,84533.0
7116.0,160.0,20.0,2.0,0.0,0.0,4159.0,92791.0
7147.0,160.0,20.0,2.0,0.0,0.0,4159.0,81355.0
7178.0,160.0,20.0,2.0,0.0,0.0,4159.0,85480.0
7208.0,160.0,20.0,2.0,0.0,0.0,4159.0,87668.0
7239.0,160.0,20.0,2.0,0.0,0.0,4159.0,91275.0
7269.0,160.0,20.0,2.0,0.0,0.0,4159.0,94934.0
7300.0,160.0,20.0,2.0,0.0,0.0,4159.0,105455.0
7331.0,160.0,20.0,2.0,0.0,0.0,4159.0,98684.0
7359.0,160.0,20.0,2.0,0.0,0.0,4159.0,93657.0
7390.0,160.0,20.0,2.0,0.0,0.0,4159.0,103354.0
7420.0,160.0,20.0,2.0,0.0,0.0,4159.0,92811.0
7451.0,160.0,20.0,2.0,0.0,0.0,4159.0,97570.0
7481.0,160.0,20.0,2.0,0.0,0.0,4159.0,77933.0
7512.0,160.0,20.0,2.0,0.0,0.0,4159.0,92744.0
7543.0,160.0,20.0,2.0,0.0,0.0,4159.0,84574.0
7573.0,160.0,20.0,2.0,0.0,0.0,4159.0,84976.0
7604.0,160.0,20.0,2.0,0.0,0.0,4159.0,96138.0
7634.0,160.0,20.0,2.0,0.0,0.0,4159.0,97578.0
7665.0,160.0,20.0,2.0,0.0,0.0,4159.0,107887.0
7696.0,160.0,20.0,2.0,0.0,0.0,4159.0,89475.0
