card,date,real_users
AMD Radeon HD 4650,2014-09-01,21144
AMD Radeon HD 4650,2014-10-01,18687
AMD Radeon HD 4650,2014-11-01,22013
AMD Radeon HD 4650,2014-12-01,21464
AMD Radeon HD 4650,2015-01-01,24553
AMD Radeon HD 4650,2015-05-01,20126
AMD Radeon HD 4650,2015-06-01,21822
AMD Radeon HD 4650,2015-09-01,20150
AMD Radeon HD 4650,2015-11-01,26948
AMD Radeon HD 4650,2016-01-01,24588
AMD Radeon HD 4650,2016-02-01,25726
AMD Radeon HD 4650,2016-03-01,20878
AMD Radeon HD 4650,2016-04-01,21486
AMD Radeon HD 4650,2016-05-01,23542
AMD Radeon HD 4650,2016-06-01,19909
AMD Radeon HD 4650,2016-07-01,19683
AMD Radeon HD 4650,2016-08-01,17671
AMD Radeon HD 4650,2016-10-01,19391
