card,date,real_users
AMD Radeon HD 6700 Series,2015-05-01,37736
AMD Radeon HD 6700 Series,2015-06-01,37534
AMD Radeon HD 6700 Series,2015-09-01,35720
AMD Radeon HD 6700 Series,2015-11-01,49854
AMD Radeon HD 6700 Series,2016-01-01,40980
AMD Radeon HD 6700 Series,2016-02-01,39149
AMD Radeon HD 6700 Series,2016-03-01,36263
AMD Radeon HD 6700 Series,2016-04-01,37318
AMD Radeon HD 6700 Series,2016-05-01,38411
AMD Radeon HD 6700 Series,2016-06-01,34288
AMD Radeon HD 6700 Series,2016-07-01,34735
AMD Radeon HD 6700 Series,2016-08-01,32029
AMD Radeon HD 6700 Series,2016-10-01,32722
AMD Radeon HD 6700 Series,2016-11-01,30758
AMD Radeon HD 6700 Series,2016-12-01,30991
AMD Radeon HD 6700 Series,2017-08-01,22288
