card,date,real_users
AMD Radeon HD 7400M Series,2015-05-01,20964
AMD Radeon HD 7400M Series,2015-06-01,20949
AMD Radeon HD 7400M Series,2015-09-01,20150
AMD Radeon HD 7400M Series,2015-11-01,26948
AMD Radeon HD 7400M Series,2016-01-01,22246
AMD Radeon HD 7400M Series,2016-02-01,21252
AMD Radeon HD 7400M Series,2016-03-01,20878
AMD Radeon HD 7400M Series,2016-04-01,21486
AMD Radeon HD 7400M Series,2016-05-01,22303
AMD Radeon HD 7400M Series,2016-06-01,19909
AMD Radeon HD 7400M Series,2016-07-01,18525
AMD Radeon HD 7400M Series,2016-08-01,17671
