card,date,real_users
AMD Radeon HD 8370D,2015-09-01,13738
AMD Radeon HD 8370D,2015-11-01,21558
AMD Radeon HD 8370D,2016-01-01,23417
AMD Radeon HD 8370D,2016-02-01,27963
AMD Radeon HD 8370D,2016-03-01,24175
AMD Radeon HD 8370D,2016-04-01,27140
AMD Radeon HD 8370D,2016-05-01,35933
AMD Radeon HD 8370D,2016-06-01,28758
AMD Radeon HD 8370D,2016-07-01,30103
AMD Radeon HD 8370D,2016-08-01,29820
AMD Radeon HD 8370D,2016-10-01,38782
AMD Radeon HD 8370D,2016-11-01,33124
AMD Radeon HD 8370D,2016-12-01,38143
AMD Radeon HD 8370D,2017-08-01,38386
AMD Radeon HD 8370D,2017-10-01,38757
AMD Radeon HD 8370D,2017-11-01,22432
AMD Radeon HD 8370D,2017-12-01,26703
AMD Radeon HD 8370D,2018-01-01,27037
AMD Radeon HD 8370D,2018-02-01,29897
AMD Radeon HD 8370D,2018-03-01,27026
AMD Radeon HD 8370D,2018-04-01,43001
AMD Radeon HD 8370D,2018-05-01,43859
AMD Radeon HD 8370D,2018-06-01,38598
AMD Radeon HD 8370D,2018-07-01,37624
AMD Radeon HD 8370D,2018-08-01,33738
AMD Radeon HD 8370D,2018-09-01,36595
AMD Radeon HD 8370D,2018-10-01,32812
AMD Radeon HD 8370D,2018-11-01,36241
AMD Radeon HD 8370D,2018-12-01,39292
AMD Radeon HD 8370D,2019-01-01,43383
AMD Radeon HD 8370D,2019-02-01,33933
AMD Radeon HD 8370D,2019-03-01,30277
AMD Radeon HD 8370D,2019-04-01,32602
AMD Radeon HD 8370D,2019-05-01,31848
AMD Radeon HD 8370D,2019-06-01,27388
AMD Radeon HD 8370D,2019-09-01,24143
