card,date,real_users
AMD Radeon Pro 460,2020-01-01,26979
AMD Radeon Pro 460,2020-02-01,29167
AMD Radeon Pro 460,2020-03-01,34629
AMD Radeon Pro 460,2020-04-01,45262
AMD Radeon Pro 460,2020-05-01,47030
AMD Radeon Pro 460,2020-06-01,43269
AMD Radeon Pro 460,2020-07-01,39291
AMD Radeon Pro 460,2020-08-01,36089
AMD Radeon Pro 460,2020-09-01,36807
AMD Radeon Pro 460,2020-10-01,36316
AMD Radeon Pro 460,2020-11-01,41783
AMD Radeon Pro 460,2020-12-01,35404
AMD Radeon Pro 460,2021-01-01,43564
AMD Radeon Pro 460,2021-02-01,39324
AMD Radeon Pro 460,2021-03-01,40785
AMD Radeon Pro 460,2021-04-01,40306
AMD Radeon Pro 460,2021-05-01,39420
