card,date,real_users
AMD Radeon R4 Graphics,2014-12-01,15899
AMD Radeon R4 Graphics,2015-01-01,21166
AMD Radeon R4 Graphics,2015-05-01,30189
AMD Radeon R4 Graphics,2015-06-01,34042
AMD Radeon R4 Graphics,2015-09-01,44879
AMD Radeon R4 Graphics,2015-11-01,70066
AMD Radeon R4 Graphics,2016-01-01,67910
AMD Radeon R4 Graphics,2016-02-01,65994
AMD Radeon R4 Graphics,2016-03-01,70328
AMD Radeon R4 Graphics,2016-04-01,71243
AMD Radeon R4 Graphics,2016-05-01,79300
AMD Radeon R4 Graphics,2016-06-01,48667
AMD Radeon R4 Graphics,2016-07-01,26630
AMD Radeon R4 Graphics,2016-08-01,24297
AMD Radeon R4 Graphics,2016-10-01,29086
AMD Radeon R4 Graphics,2016-11-01,27209
AMD Radeon R4 Graphics,2016-12-01,29799
AMD Radeon R4 Graphics,2017-08-01,23527
AMD Radeon R4 Graphics,2018-04-01,30960
AMD Radeon R4 Graphics,2018-05-01,30864
AMD Radeon R4 Graphics,2018-06-01,30878
AMD Radeon R4 Graphics,2018-07-01,27809
AMD Radeon R4 Graphics,2018-08-01,28115
AMD Radeon R4 Graphics,2018-09-01,30230
AMD Radeon R4 Graphics,2018-10-01,25679
AMD Radeon R4 Graphics,2018-11-01,27543
AMD Radeon R4 Graphics,2018-12-01,34380
AMD Radeon R4 Graphics,2019-01-01,33742
AMD Radeon R4 Graphics,2019-02-01,29306
AMD Radeon R4 Graphics,2019-03-01,31791
AMD Radeon R4 Graphics,2019-04-01,26674
AMD Radeon R4 Graphics,2019-05-01,30256
AMD Radeon R4 Graphics,2019-06-01,28999
AMD Radeon R4 Graphics,2019-07-01,29229
AMD Radeon R4 Graphics,2019-08-01,27806
AMD Radeon R4 Graphics,2019-09-01,28972
AMD Radeon R4 Graphics,2019-10-01,25702
AMD Radeon R4 Graphics,2019-11-01,27396
AMD Radeon R4 Graphics,2019-12-01,30879
AMD Radeon R4 Graphics,2020-01-01,28665
AMD Radeon R4 Graphics,2020-02-01,30990
AMD Radeon R4 Graphics,2020-03-01,34629
AMD Radeon R4 Graphics,2020-04-01,47645
AMD Radeon R4 Graphics,2020-05-01,47030
AMD Radeon R4 Graphics,2020-06-01,38942
AMD Radeon R4 Graphics,2020-07-01,35155
AMD Radeon R4 Graphics,2020-08-01,30390
AMD Radeon R4 Graphics,2020-09-01,32717
AMD Radeon R4 Graphics,2020-10-01,34180
AMD Radeon R4 Graphics,2020-11-01,37141
