card,date,real_users
AMD Radeon R7 300 Series,2016-06-01,19909
AMD Radeon R7 300 Series,2016-07-01,50945
AMD Radeon R7 300 Series,2016-08-01,51909
AMD Radeon R7 300 Series,2016-10-01,64233
AMD Radeon R7 300 Series,2016-11-01,62700
AMD Radeon R7 300 Series,2016-12-01,63174
AMD Radeon R7 300 Series,2017-08-01,70581
AMD Radeon R7 300 Series,2017-10-01,61366
AMD Radeon R7 300 Series,2017-11-01,58324
AMD Radeon R7 300 Series,2017-12-01,61261
AMD Radeon R7 300 Series,2018-01-01,60833
AMD Radeon R7 300 Series,2018-02-01,61368
AMD Radeon R7 300 Series,2018-03-01,66771
AMD Radeon R7 300 Series,2018-04-01,73962
AMD Radeon R7 300 Series,2018-05-01,66601
AMD Radeon R7 300 Series,2018-06-01,60213
AMD Radeon R7 300 Series,2018-07-01,65433
AMD Radeon R7 300 Series,2018-08-01,54824
AMD Radeon R7 300 Series,2018-09-01,62052
AMD Radeon R7 300 Series,2018-10-01,55638
AMD Radeon R7 300 Series,2018-11-01,53637
AMD Radeon R7 300 Series,2018-12-01,63849
AMD Radeon R7 300 Series,2019-01-01,61058
AMD Radeon R7 300 Series,2019-02-01,52442
AMD Radeon R7 300 Series,2019-03-01,49957
AMD Radeon R7 300 Series,2019-04-01,45939
AMD Radeon R7 300 Series,2019-05-01,52550
AMD Radeon R7 300 Series,2019-06-01,48332
AMD Radeon R7 300 Series,2019-07-01,46151
AMD Radeon R7 300 Series,2019-08-01,42441
AMD Radeon R7 300 Series,2019-09-01,45068
AMD Radeon R7 300 Series,2019-10-01,39982
AMD Radeon R7 300 Series,2019-11-01,39572
AMD Radeon R7 300 Series,2019-12-01,42888
AMD Radeon R7 300 Series,2020-01-01,43841
AMD Radeon R7 300 Series,2020-02-01,41927
AMD Radeon R7 300 Series,2020-03-01,46173
AMD Radeon R7 300 Series,2020-04-01,52409
AMD Radeon R7 300 Series,2020-05-01,54085
AMD Radeon R7 300 Series,2020-06-01,43269
AMD Radeon R7 300 Series,2020-07-01,41359
AMD Radeon R7 300 Series,2020-08-01,34189
AMD Radeon R7 300 Series,2020-09-01,36807
AMD Radeon R7 300 Series,2020-10-01,38453
AMD Radeon R7 300 Series,2020-11-01,39462
